DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
9/17/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Scheduled,PR2688,Philippine Airlines
9/16/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Scheduled,PR2688,Philippine Airlines
9/15/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Scheduled,PR2688,Philippine Airlines
9/13/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Scheduled,PR2688,Philippine Airlines
9/11/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Scheduled,PR2688,Philippine Airlines
9/9/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),,9:45:00,9:49:00,11:15:00,Estimated 11:01 AM,PR2688,Philippine Airlines
9/7/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:13:00,9:45:00,9:32:00,11:15:00,Landed 10:45 AM,PR2688,Philippine Airlines
9/6/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:15:00,9:45:00,9:37:00,11:15:00,Landed 10:52 AM,PR2688,Philippine Airlines
9/5/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:15:00,9:45:00,9:40:00,11:15:00,Landed 10:55 AM,PR2688,Philippine Airlines
9/3/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:12:00,9:45:00,9:38:00,11:15:00,Landed 10:50 AM,PR2688,Philippine Airlines
9/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:15:00,9:45:00,10:43:00,11:15:00,Landed 11:58 AM,PR2688,Philippine Airlines
8/30/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:11:00,9:45:00,9:49:00,11:15:00,Landed 11:00 AM,PR2688,Philippine Airlines
8/27/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:11:00,9:45:00,9:32:00,11:15:00,Landed 10:43 AM,PR2688,Philippine Airlines
8/23/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:09:00,9:45:00,9:32:00,11:15:00,Landed 10:42 AM,PR2688,Philippine Airlines
8/21/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5901),1:13:00,9:45:00,9:41:00,11:15:00,Landed 10:54 AM,PR2688,Philippine Airlines
8/20/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Canceled,PR2688,Philippine Airlines
8/19/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:07:00,9:45:00,9:06:00,11:15:00,Landed 10:14 AM,PR2688,Philippine Airlines
8/18/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:14:00,9:45:00,9:23:00,11:15:00,Landed 10:37 AM,PR2688,Philippine Airlines
8/16/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:11:00,9:45:00,9:34:00,11:15:00,Landed 10:45 AM,PR2688,Philippine Airlines
8/13/2025 0:00,Angeles City (CRK),Basco (BSO),DH8,,9:45:00,,11:15:00,Canceled,PR2688,Philippine Airlines
