DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
07 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,6:20 AM,—,7:35 AM,07 Nov 2025,5J405,Cebu Pacific
06 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,5:25 AM,—,6:40 AM,06 Nov 2025,5J405,Cebu Pacific
05 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,6:20 AM,—,7:35 AM,05 Nov 2025,5J405,Cebu Pacific
04 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,5:25 AM,—,6:40 AM,04 Nov 2025,5J405,Cebu Pacific
03 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,6:20 AM,—,7:35 AM,03 Nov 2025,5J405,Cebu Pacific
02 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,6:20 AM,—,7:35 AM,02 Nov 2025,5J405,Cebu Pacific
01 Nov 2025,Laoag City (LAO),Manila (MNL),32N,1:15,5:25 AM,—,6:40 AM,01 Nov 2025,5J405,Cebu Pacific
31 Oct 2025,Laoag City (LAO),Manila (MNL),320,1:15,6:20 AM,—,7:35 AM,31 Oct 2025,5J405,Cebu Pacific
30 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),1:15,5:25 AM,5:22 AM,6:40 AM,30 Oct 2025,5J405,Cebu Pacific
29 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4107),1:15,6:20 AM,6:38 AM,7:35 AM,29 Oct 2025,5J405,Cebu Pacific
28 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),1:15,5:25 AM,5:22 AM,6:40 AM,28 Oct 2025,5J405,Cebu Pacific
27 Oct 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:20 AM,6:27 AM,7:35 AM,27 Oct 2025,5J405,Cebu Pacific
26 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),1:15,6:20 AM,6:06 AM,7:35 AM,26 Oct 2025,5J405,Cebu Pacific
25 Oct 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:23 AM,7:50 AM,25 Oct 2025,5J405,Cebu Pacific
23 Oct 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),1:15,6:35 AM,6:33 AM,7:50 AM,23 Oct 2025,5J405,Cebu Pacific
22 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4102),1:15,6:35 AM,6:29 AM,7:50 AM,22 Oct 2025,5J405,Cebu Pacific
21 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4263),1:15,6:35 AM,6:15 AM,7:50 AM,21 Oct 2025,5J405,Cebu Pacific
20 Oct 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:31 AM,7:50 AM,20 Oct 2025,5J405,Cebu Pacific
19 Oct 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:39 AM,7:50 AM,19 Oct 2025,5J405,Cebu Pacific
18 Oct 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),1:15,6:35 AM,6:20 AM,7:50 AM,18 Oct 2025,5J405,Cebu Pacific
