Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
AirAsia,BCD-MNL,2022,9,6621.6,18.64,3687.33,3692.25,3934.0,206,2179
AirAsia,CEB-MNL,2022,9,2979.72,7.84,5438.22,3663.32,3934.0,550,2179
AirAsia,CGY-MNL,2022,9,662.16,2.92,4794.97,3658.86,3934.0,204,2179
AirAsia,ILO-MNL,2022,9,15446.84,41.19,3494.96,3268.97,3934.0,231,2179
AirAsia,KLO-MNL,2022,9,7283.76,86.27,7631.03,7631.68,3934.0,51,2179
AirAsia,MNL-BCD,2022,9,4469.58,20.95,3564.91,3801.79,3624.82,1813,133
AirAsia,MNL-CEB,2022,9,7945.92,19.18,3776.28,3801.79,2957.6,1813,594
AirAsia,MNL-CGY,2022,9,662.16,2.48,4995.7,3801.79,4014.46,1813,216
AirAsia,MNL-ILO,2022,9,12084.42,31.26,3559.86,3801.79,3335.66,1813,238
AirAsia,MNL-KLO,2022,9,7780.38,87.04,7743.92,3801.79,7778.51,1813,55
AirAsia,MNL-MPH,2022,9,9766.86,30.98,3181.36,3801.79,3299.33,1813,217
AirAsia,MNL-PPS,2022,9,2317.56,22.11,5259.83,3801.79,4140.78,1813,94
AirAsia,MNL-TAG,2022,9,5793.9,34.48,3335.98,3801.79,3346.23,1813,110
AirAsia,MPH-KLO,2022,9,165.54,100.0,10000.0,3340.7,7778.51,267,55
AirAsia,MPH-MNL,2022,9,13077.66,32.9,3255.85,3340.7,3934.0,267,2179
AirAsia,PPS-MNL,2022,9,4138.5,32.97,4083.54,3701.13,3934.0,90,2179
AirAsia,RXS-MNL,2022,9,1324.32,20.0,6800.0,6800.0,3934.0,40,2179
AirAsia,TAC-MNL,2022,9,7449.3,32.85,5213.14,4721.84,3934.0,158,2179
AirAsia,TAG-MNL,2022,9,5793.9,27.67,3605.1,3536.56,3934.0,130,2179
Cebgo,BXU-CEB,2022,9,364.608,100.0,10000.0,6265.71,2957.6,67,594
Cebgo,CEB-BXU,2022,9,425.376,100.0,10000.0,3663.32,6098.52,550,70
Cebgo,CEB-CGM,2022,9,121.536,100.0,10000.0,3663.32,10000.0,550,2
Cebgo,CEB-CGY,2022,9,3220.704,71.84,5953.97,3663.32,4014.46,550,216
Cebgo,CEB-CRK,2022,9,546.912,100.0,10000.0,3663.32,10000.0,550,9
Cebgo,CEB-CYP,2022,9,850.752,100.0,10000.0,3663.32,5897.73,550,20
Cebgo,CEB-IAO,2022,9,2369.952,67.37,5603.43,3663.32,5248.69,550,104
Cebgo,CEB-ILO,2022,9,1276.128,100.0,10000.0,3663.32,3335.66,550,238
Cebgo,CEB-PAG,2022,9,121.536,100.0,10000.0,3663.32,9314.17,550,23
Cebgo,CEB-TAC,2022,9,60.768,100.0,10000.0,3663.32,10000.0,550,1
Cebgo,CEB-USU,2022,9,1093.824,57.65,5117.04,3663.32,5117.08,550,32
Cebgo,CGY-CEB,2022,9,4010.688,76.89,6446.14,3658.86,2957.6,204,594
Cebgo,CRK-CEB,2022,9,546.912,100.0,10000.0,10000.0,2957.6,9,594
Cebgo,CYP-CEB,2022,9,486.144,100.0,10000.0,5331.9,2957.6,13,594
Cebgo,DPL-CEB,2022,9,60.768,100.0,10000.0,5041.55,2957.6,35,594
Cebgo,IAO-CEB,2022,9,1519.2,56.96,5096.88,5363.1,2957.6,71,594
Cebgo,ILO-CEB,2022,9,1276.128,100.0,10000.0,3268.97,2957.6,231,594
Cebgo,MNL-LGP,2022,9,60.768,0.45,4966.3,3801.79,4966.49,1813,99
Cebgo,MNL-MPH,2022,9,1215.36,4.06,3181.36,3801.79,3299.33,1813,217
Cebgo,MNL-WNP,2022,9,1154.592,100.0,10000.0,3801.79,10000.0,1813,19
Cebgo,MPH-MNL,2022,9,1154.592,3.06,3255.85,3340.7,3934.0,267,2179
Cebgo,OZC-CEB,2022,9,1093.824,100.0,10000.0,3970.39,2957.6,59,594
Cebgo,PAG-CEB,2022,9,911.52,100.0,10000.0,7744.08,2957.6,54,594
Cebgo,TAC-CEB,2022,9,121.536,10.03,8195.2,4721.84,2957.6,158,594
Cebgo,USU-CEB,2022,9,1033.056,62.07,5291.37,5102.04,2957.6,61,594
Cebgo,USU-MNL,2022,9,1033.056,52.94,5017.29,5102.04,3934.0,61,2179
Cebgo,WNP-MNL,2022,9,1154.592,100.0,10000.0,10000.0,3934.0,19,2179
Cebu Pacific,BCD-MNL,2022,9,15026.576,44.61,3687.33,3692.25,3934.0,206,2179
Cebu Pacific,BXU-MNL,2022,9,7535.232,79.52,6742.86,6265.71,3934.0,67,2179
Cebu Pacific,CEB-DVO,2022,9,3610.632,61.73,5275.19,3663.32,5260.19,550,227
Cebu Pacific,CEB-MNL,2022,9,25174.832,69.85,5438.22,3663.32,3934.0,550,2179
Cebu Pacific,CEB-MPH,2022,9,2040.792,100.0,10000.0,3663.32,3299.33,550,217
Cebu Pacific,CGY-MNL,2022,9,11738.352,54.63,4794.97,3658.86,3934.0,204,2179
Cebu Pacific,CYZ-MNL,2022,9,3767.616,100.0,10000.0,10000.0,3934.0,24,2179
Cebu Pacific,DGT-MNL,2022,9,3453.648,40.67,5174.1,5174.18,3934.0,56,2179
Cebu Pacific,DPL-MNL,2022,9,3139.68,58.82,5155.58,5041.55,3934.0,35,2179
Cebu Pacific,DVO-CEB,2022,9,3139.68,59.65,5186.24,5175.75,2957.6,219,594
Cebu Pacific,DVO-MNL,2022,9,17358.548,61.0,5242.0,5175.75,3934.0,219,2179
Cebu Pacific,GES-MNL,2022,9,10057.104,63.33,5355.38,5355.33,3934.0,59,2179
Cebu Pacific,ILO-MNL,2022,9,8369.104,23.53,3494.96,3268.97,3934.0,231,2179
Cebu Pacific,KLO-MNL,2022,9,1098.888,13.73,7631.03,7631.68,3934.0,51,2179
Cebu Pacific,LGP-MNL,2022,9,7064.28,53.84,5029.49,5029.49,3934.0,95,2179
Cebu Pacific,MNL-BCD,2022,9,7872.832,38.91,3564.91,3801.79,3624.82,1813,133
Cebu Pacific,MNL-BXU,2022,9,7535.232,78.56,6631.35,3801.79,6098.52,1813,70
Cebu Pacific,MNL-CEB,2022,9,19194.248,48.85,3776.28,3801.79,2957.6,1813,594
Cebu Pacific,MNL-CGY,2022,9,15109.288,59.57,4995.7,3801.79,4014.46,1813,216
Cebu Pacific,MNL-CYZ,2022,9,3924.6,100.0,10000.0,3801.79,10000.0,1813,25
Cebu Pacific,MNL-DGT,2022,9,6593.328,55.93,5070.33,3801.79,5070.28,1813,77
Cebu Pacific,MNL-DPL,2022,9,3139.68,57.14,5101.96,3801.79,5102.04,1813,35
Cebu Pacific,MNL-DVO,2022,9,18329.148,63.04,5340.08,3801.79,5260.19,1813,227
Cebu Pacific,MNL-GES,2022,9,10993.944,65.37,5472.47,3801.79,5472.59,1813,62
Cebu Pacific,MNL-ILO,2022,9,8757.344,23.88,3559.86,3801.79,3335.66,1813,238
Cebu Pacific,MNL-KLO,2022,9,1098.888,12.96,7743.92,3801.79,7778.51,1813,55
Cebu Pacific,MNL-LGP,2022,9,7064.28,52.12,4966.3,3801.79,4966.49,1813,99
Cebu Pacific,MNL-MPH,2022,9,11773.8,39.38,3181.36,3801.79,3299.33,1813,217
Cebu Pacific,MNL-OZC,2022,9,3924.6,100.0,10000.0,3801.79,10000.0,1813,25
Cebu Pacific,MNL-PAG,2022,9,3296.664,100.0,10000.0,3801.79,9314.17,1813,23
Cebu Pacific,MNL-PPS,2022,9,6802.64,68.42,5259.83,3801.79,4140.78,1813,94
Cebu Pacific,MNL-RXS,2022,9,3139.68,100.0,10000.0,3801.79,10000.0,1813,20
Cebu Pacific,MNL-TAG,2022,9,5204.104,32.66,3335.98,3801.79,3346.23,1813,110
Cebu Pacific,MPH-CEB,2022,9,2040.792,100.0,10000.0,3340.7,2957.6,267,594
Cebu Pacific,MPH-MNL,2022,9,14913.48,39.57,3255.85,3340.7,3934.0,267,2179
Cebu Pacific,OZC-MNL,2022,9,3767.616,58.54,5145.86,3970.39,3934.0,59,2179
Cebu Pacific,PAG-MNL,2022,9,6122.376,100.0,10000.0,7744.08,3934.0,54,2179
Cebu Pacific,PPS-MNL,2022,9,6294.552,52.88,4083.54,3701.13,3934.0,90,2179
Cebu Pacific,RXS-MNL,2022,9,5023.488,80.0,6800.0,6800.0,3934.0,40,2179
Cebu Pacific,TAC-MNL,2022,9,13814.592,64.23,5213.14,4721.84,3934.0,158,2179
Cebu Pacific,TAG-MNL,2022,9,9280.624,46.74,3605.1,3536.56,3934.0,130,2179
Cebu Pacific,TUG-MNL,2022,9,5337.456,100.0,10000.0,10000.0,3934.0,34,2179
Cebu Pacific,ZAM-MNL,2022,9,11412.568,74.41,6191.7,5966.84,3934.0,97,2179
Philippine Airlines,BCD-CEB,2022,9,934.048,100.0,10000.0,3692.25,2957.6,206,594
Philippine Airlines,BCD-MNL,2022,9,11846.896,36.74,3687.33,3692.25,3934.0,206,2179
Philippine Airlines,BXU-MNL,2022,9,1858.4,20.48,6742.86,6265.71,3934.0,67,2179
Philippine Airlines,CBO-MNL,2022,9,2404.608,100.0,10000.0,10000.0,3934.0,16,2179
Philippine Airlines,CEB-BCD,2022,9,1043.936,100.0,10000.0,3663.32,3624.82,550,133
Philippine Airlines,CEB-CGY,2022,9,1208.768,28.16,5953.97,3663.32,4014.46,550,216
Philippine Airlines,CEB-DVO,2022,9,2142.816,38.27,5275.19,3663.32,5260.19,550,227
Philippine Airlines,CEB-IAO,2022,9,1098.88,32.63,5603.43,3663.32,5248.69,550,104
Philippine Airlines,CEB-MNL,2022,9,7698.624,22.31,5438.22,3663.32,3934.0,550,2179
Philippine Airlines,CEB-PPS,2022,9,2087.872,100.0,10000.0,3663.32,4140.78,550,94
Philippine Airlines,CEB-USU,2022,9,769.216,42.35,5117.04,3663.32,5117.08,550,32
Philippine Airlines,CGY-CEB,2022,9,1153.824,23.11,6446.14,3658.86,2957.6,204,594
Philippine Airlines,CGY-MNL,2022,9,8731.248,42.45,4794.97,3658.86,3934.0,204,2179
Philippine Airlines,CYP-MNL,2022,9,274.72,100.0,10000.0,5331.9,3934.0,13,2179
Philippine Airlines,DGT-MNL,2022,9,4823.76,59.33,5174.1,5174.18,3934.0,56,2179
Philippine Airlines,DPL-MNL,2022,9,2104.032,41.18,5155.58,5041.55,3934.0,35,2179
Philippine Airlines,DVO-CEB,2022,9,2032.928,40.35,5186.24,5175.75,2957.6,219,594
Philippine Airlines,DVO-MNL,2022,9,10625.2,39.0,5242.0,5175.75,3934.0,219,2179
Philippine Airlines,DVO-TAG,2022,9,769.216,100.0,10000.0,5175.75,3346.23,219,110
Philippine Airlines,EUQ-MNL,2022,9,384.608,100.0,10000.0,10000.0,3934.0,7,2179
Philippine Airlines,GES-MNL,2022,9,5575.2,36.67,5355.38,5355.33,3934.0,59,2179
Philippine Airlines,IAO-CEB,2022,9,1098.88,43.04,5096.88,5363.1,2957.6,71,594
Philippine Airlines,IAO-MNL,2022,9,1428.544,100.0,10000.0,5363.1,3934.0,71,2179
Philippine Airlines,ILO-MNL,2022,9,12013.344,35.28,3494.96,3268.97,3934.0,231,2179
Philippine Airlines,LAO-MNL,2022,9,1016.464,100.0,10000.0,10000.0,3934.0,12,2179
Philippine Airlines,LGP-MNL,2022,9,5798.208,46.16,5029.49,5029.49,3934.0,95,2179
Philippine Airlines,MNL-BCD,2022,9,7777.808,40.15,3564.91,3801.79,3624.82,1813,133
Philippine Airlines,MNL-BSO,2022,9,879.104,100.0,10000.0,3801.79,10000.0,1813,16
Philippine Airlines,MNL-BXU,2022,9,1968.288,21.44,6631.35,3801.79,6098.52,1813,70
Philippine Airlines,MNL-CBO,2022,9,3060.704,100.0,10000.0,3801.79,10000.0,1813,21
Philippine Airlines,MNL-CEB,2022,9,12027.888,31.97,3776.28,3801.79,2957.6,1813,594
Philippine Airlines,MNL-CGY,2022,9,9217.664,37.96,4995.7,3801.79,4014.46,1813,216
Philippine Airlines,MNL-CRM,2022,9,329.664,100.0,10000.0,3801.79,10000.0,1813,6
Philippine Airlines,MNL-CYP,2022,9,329.664,100.0,10000.0,3801.79,5897.73,1813,20
Philippine Airlines,MNL-DGT,2022,9,4974.048,44.07,5070.33,3801.79,5070.28,1813,77
Philippine Airlines,MNL-DPL,2022,9,2254.32,42.86,5101.96,3801.79,5102.04,1813,35
Philippine Airlines,MNL-DVO,2022,9,10289.072,36.96,5340.08,3801.79,5260.19,1813,227
Philippine Airlines,MNL-EUQ,2022,9,439.552,100.0,10000.0,3801.79,10000.0,1813,8
Philippine Airlines,MNL-GES,2022,9,5575.2,34.63,5472.47,3801.79,5472.59,1813,62
Philippine Airlines,MNL-IAO,2022,9,2472.48,100.0,10000.0,3801.79,5248.69,1813,104
Philippine Airlines,MNL-ILO,2022,9,15746.304,44.86,3559.86,3801.79,3335.66,1813,238
Philippine Airlines,MNL-LAO,2022,9,644.784,100.0,10000.0,3801.79,10000.0,1813,10
Philippine Airlines,MNL-LGP,2022,9,6153.728,47.43,4966.3,3801.79,4966.49,1813,99
Philippine Airlines,MNL-MNL,2022,9,391.072,100.0,10000.0,3801.79,3934.0,1813,2179
Philippine Airlines,MNL-MPH,2022,9,7323.712,25.58,3181.36,3801.79,3299.33,1813,217
