DATE,FROM,TO,AIRCRAFT,FLIGHT NUMBER,AIRLINE,# OF SEATS,LOAD FACTOR,MONTH
11/5/2025 0:00,Manila (MNL),Butuan (BXU),320,PR2941,Philippine Airlines,186,150.288,11
11/3/2025 0:00,Manila (MNL),Butuan (BXU),320,PR2941,Philippine Airlines,186,150.288,11
10/31/2025 0:00,Manila (MNL),Butuan (BXU),320,PR2941,Philippine Airlines,186,150.288,10
10/29/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8620),PR2941,Philippine Airlines,186,150.288,10
10/27/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8609),PR2941,Philippine Airlines,186,150.288,10
5/17/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,5
3/25/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,3
3/24/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8398),PR2941,Philippine Airlines,186,147.126,3
3/10/2025 0:00,Not available,Cebu (CEB),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,3
3/10/2025 0:00,Manila (MNL),Butuan (BXU),A320 (RP-C8612),PR2941,Philippine Airlines,186,147.126,3
11/7/2025 0:00,Cebu (CEB),Butuan (BXU),32B,5J4579,Cebu Pacific,230,194.12,11
11/5/2025 0:00,Cebu (CEB),Butuan (BXU),320,5J4579,Cebu Pacific,186,156.984,11
11/3/2025 0:00,Cebu (CEB),Butuan (BXU),320,5J4579,Cebu Pacific,186,156.984,11
10/31/2025 0:00,Cebu (CEB),Butuan (BXU),321,5J4579,Cebu Pacific,230,194.12,10
10/29/2025 0:00,Cebu (CEB),Butuan (BXU),A320 (RP-C4268),5J4579,Cebu Pacific,186,156.984,10
10/27/2025 0:00,Cebu (CEB),Butuan (BXU),A21N (RP-C4133),5J4579,Cebu Pacific,230,194.12,10
3/29/2025 0:00,Cebu (CEB),Butuan (BXU),A320 (RP-C4160),5J4579,Cebu Pacific,186,151.404,3
