Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Philippine Airlines,BCD-CEB,2022.0,9,934.048,30.68,10000.0,3604.7,3217.98,339,1145
AirAsia,BCD-MNL,2022.0,9,6621.599999999999,16.45,3654.38,3604.7,3843.84,339,3992
Cebu Pacific,BCD-MNL,2022.0,9,15026.576000000001,48.98,3654.38,3604.7,3843.84,339,3992
Philippine Airlines,BCD-MNL,2022.0,9,11846.896,30.68,3654.38,3604.7,3843.84,339,3992
Cebgo,BXU-CEB,2022.0,9,364.608,3.89,10000.0,6253.79,3217.98,137,1145
Cebu Pacific,BXU-MNL,2022.0,9,7535.232,48.98,6826.06,6253.79,3843.84,137,3992
Philippine Airlines,BXU-MNL,2022.0,9,1858.4,30.68,6826.06,6253.79,3843.84,137,3992
Philippine Airlines,CBO-MNL,2022.0,9,2404.608,30.68,10000.0,10000.0,3843.84,37,3992
Philippine Airlines,CEB-BCD,2022.0,9,1043.9360000000001,30.68,10000.0,3217.98,3604.7,1145,339
Cebgo,CEB-BXU,2022.0,9,425.376,3.89,10000.0,3217.98,6253.79,1145,137
Cebgo,CEB-CGM,2022.0,9,121.536,3.89,10000.0,3217.98,10000.0,1145,2
Cebgo,CEB-CGY,2022.0,9,3220.704,3.89,6031.56,3217.98,3825.21,1145,420
Philippine Airlines,CEB-CGY,2022.0,9,1208.768,30.68,6031.56,3217.98,3825.21,1145,420
Cebgo,CEB-CRK,2022.0,9,546.912,3.89,10000.0,3217.98,10000.0,1145,18
Cebgo,CEB-CYP,2022.0,9,850.752,3.89,10000.0,3217.98,5711.91,1145,33
Cebu Pacific,CEB-DVO,2022.0,9,3610.632,48.98,5325.43,3217.98,5261.98,1145,446
Philippine Airlines,CEB-DVO,2022.0,9,2142.8160000000003,30.68,5325.43,3217.98,5261.98,1145,446
Cebgo,CEB-IAO,2022.0,9,2369.952,3.89,5671.34,3217.98,5244.71,1145,175
