Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Philippine Airlines,BCD-CEB,2022.0,9,934.048,30.69,10000.0,3604.7,3219.43,339,1144
AirAsia,BCD-MNL,2022.0,9,6621.599999999999,16.46,3654.38,3604.7,3843.84,339,3992
Cebu Pacific,BCD-MNL,2022.0,9,15026.576000000001,48.97,3654.38,3604.7,3843.84,339,3992
Philippine Airlines,BCD-MNL,2022.0,9,11846.896,30.69,3654.38,3604.7,3843.84,339,3992
Cebgo,BXU-CEB,2022.0,9,364.608,3.88,10000.0,6253.79,3219.43,137,1144
Cebu Pacific,BXU-MNL,2022.0,9,7535.232,48.97,6826.06,6253.79,3843.84,137,3992
Philippine Airlines,BXU-MNL,2022.0,9,1858.4,30.69,6826.06,6253.79,3843.84,137,3992
Philippine Airlines,CBO-MNL,2022.0,9,2404.608,30.69,10000.0,10000.0,3843.84,37,3992
Philippine Airlines,CEB-BCD,2022.0,9,1043.9360000000001,30.69,10000.0,3219.43,3604.7,1144,339
Cebgo,CEB-BXU,2022.0,9,425.376,3.88,10000.0,3219.43,6253.79,1144,137
Cebgo,CEB-CGM,2022.0,9,121.536,3.88,10000.0,3219.43,10000.0,1144,2
Cebgo,CEB-CGY,2022.0,9,3220.704,3.88,6031.56,3219.43,3825.21,1144,420
Philippine Airlines,CEB-CGY,2022.0,9,1208.768,30.69,6031.56,3219.43,3825.21,1144,420
Cebgo,CEB-CRK,2022.0,9,546.912,3.88,10000.0,3219.43,10000.0,1144,18
Cebgo,CEB-CYP,2022.0,9,850.752,3.88,10000.0,3219.43,5711.91,1144,33
Cebu Pacific,CEB-DVO,2022.0,9,3610.632,48.97,5325.43,3219.43,5261.98,1144,446
Philippine Airlines,CEB-DVO,2022.0,9,2142.8160000000003,30.69,5325.43,3219.43,5261.98,1144,446
Cebgo,CEB-IAO,2022.0,9,2369.952,3.88,5671.34,3219.43,5244.71,1144,175
Philippine Airlines,CEB-IAO,2022.0,9,1098.88,30.69,5671.34,3219.43,5244.71,1144,175
Cebgo,CEB-ILO,2022.0,9,1276.128,3.88,10000.0,3219.43,3253.12,1144,469
AirAsia,CEB-MNL,2022.0,9,2979.72,16.46,5460.5,3219.43,3843.84,1144,3992
Cebu Pacific,CEB-MNL,2022.0,9,25174.832000000002,48.97,5460.5,3219.43,3843.84,1144,3992
Philippine Airlines,CEB-MNL,2022.0,9,7698.624,30.69,5460.5,3219.43,3843.84,1144,3992
Cebu Pacific,CEB-MPH,2022.0,9,2040.7920000000001,48.97,10000.0,3219.43,3333.8,1144,484
Cebgo,CEB-PAG,2022.0,9,121.536,3.88,10000.0,3219.43,8218.63,1144,77
Philippine Airlines,CEB-PPS,2022.0,9,2087.8720000000003,30.69,10000.0,3219.43,3852.7,1144,184
Cebgo,CEB-TAC,2022.0,9,60.768,3.88,10000.0,3219.43,4671.25,1144,159
Cebgo,CEB-USU,2022.0,9,1093.824,3.88,5151.79,3219.43,5140.47,1144,93
Philippine Airlines,CEB-USU,2022.0,9,769.216,30.69,5151.79,3219.43,5140.47,1144,93
Cebgo,CGY-CEB,2022.0,9,4010.688,3.88,6530.0,3825.21,3219.43,420,1144
Philippine Airlines,CGY-CEB,2022.0,9,1153.824,30.69,6530.0,3825.21,3219.43,420,1144
AirAsia,CGY-MNL,2022.0,9,662.16,16.46,4802.63,3825.21,3843.84,420,3992
Cebu Pacific,CGY-MNL,2022.0,9,11738.352,48.97,4802.63,3825.21,3843.84,420,3992
Philippine Airlines,CGY-MNL,2022.0,9,8731.248,30.69,4802.63,3825.21,3843.84,420,3992
Cebgo,CRK-CEB,2022.0,9,546.912,3.88,10000.0,10000.0,3219.43,18,1144
Cebgo,CYP-CEB,2022.0,9,486.144,3.88,10000.0,5711.91,3219.43,33,1144
Philippine Airlines,CYP-MNL,2022.0,9,274.72,30.69,10000.0,5711.91,3843.84,33,3992
Cebu Pacific,CYZ-MNL,2022.0,9,3767.616,48.97,10000.0,10000.0,3843.84,49,3992
Cebu Pacific,DGT-MNL,2022.0,9,3453.648,48.97,5136.99,5000.79,3843.84,133,3992
Philippine Airlines,DGT-MNL,2022.0,9,4823.76,30.69,5136.99,5000.79,3843.84,133,3992
Cebgo,DPL-CEB,2022.0,9,60.768,3.88,10000.0,5104.89,3219.43,70,1144
Cebu Pacific,DPL-MNL,2022.0,9,3139.6800000000003,48.97,5195.04,5104.89,3843.84,70,3992
Philippine Airlines,DPL-MNL,2022.0,9,2104.032,30.69,5195.04,5104.89,3843.84,70,3992
Cebu Pacific,DVO-CEB,2022.0,9,3139.6800000000003,48.97,5228.9,5261.98,3219.43,446,1144
Philippine Airlines,DVO-CEB,2022.0,9,2032.928,30.69,5228.9,5261.98,3219.43,446,1144
Cebu Pacific,DVO-MNL,2022.0,9,17358.548,48.97,5289.48,5261.98,3843.84,446,3992
Philippine Airlines,DVO-MNL,2022.0,9,10625.2,30.69,5289.48,5261.98,3843.84,446,3992
Philippine Airlines,DVO-TAG,2022.0,9,769.216,30.69,10000.0,5261.98,3375.63,446,240
Philippine Airlines,EUQ-MNL,2022.0,9,384.608,30.69,10000.0,10000.0,3843.84,15,3992
Cebu Pacific,GES-MNL,2022.0,9,10057.104,48.97,5411.01,5472.66,3843.84,121,3992
Philippine Airlines,GES-MNL,2022.0,9,5575.2,30.69,5411.01,5472.66,3843.84,121,3992
Cebgo,IAO-CEB,2022.0,9,1519.2,3.88,5128.87,5244.71,3219.43,175,1144
Philippine Airlines,IAO-CEB,2022.0,9,1098.88,30.69,5128.87,5244.71,3219.43,175,1144
Philippine Airlines,IAO-MNL,2022.0,9,1428.544,30.69,10000.0,5244.71,3843.84,175,3992
Cebgo,ILO-CEB,2022.0,9,1276.128,3.88,10000.0,3253.12,3219.43,469,1144
AirAsia,ILO-MNL,2022.0,9,15446.84,16.46,3528.5,3253.12,3843.84,469,3992
Cebu Pacific,ILO-MNL,2022.0,9,8369.104000000001,48.97,3528.5,3253.12,3843.84,469,3992
Philippine Airlines,ILO-MNL,2022.0,9,12013.344000000001,30.69,3528.5,3253.12,3843.84,469,3992
AirAsia,KLO-MNL,2022.0,9,7283.759999999999,16.46,7721.88,7795.88,3843.84,106,3992
Cebu Pacific,KLO-MNL,2022.0,9,1098.8880000000001,48.97,7721.88,7795.88,3843.84,106,3992
Philippine Airlines,LAO-MNL,2022.0,9,1016.464,30.69,10000.0,10000.0,3843.84,22,3992
Cebu Pacific,LGP-MNL,2022.0,9,7064.280000000001,48.97,5048.44,5011.5,3843.84,194,3992
Philippine Airlines,LGP-MNL,2022.0,9,5798.2080000000005,30.69,5048.44,5011.5,3843.84,194,3992
AirAsia,MNL-BCD,2022.0,9,4469.58,16.46,3518.89,3843.84,3604.7,3992,339
Cebu Pacific,MNL-BCD,2022.0,9,7872.832,48.97,3518.89,3843.84,3604.7,3992,339
Philippine Airlines,MNL-BCD,2022.0,9,7777.808,30.69,3518.89,3843.84,3604.7,3992,339
Philippine Airlines,MNL-BSO,2022.0,9,879.104,30.69,10000.0,3843.84,10000.0,3992,16
Cebu Pacific,MNL-BXU,2022.0,9,7535.232,48.97,6715.67,3843.84,6253.79,3992,137
Philippine Airlines,MNL-BXU,2022.0,9,1968.2880000000002,30.69,6715.67,3843.84,6253.79,3992,137
Philippine Airlines,MNL-CBO,2022.0,9,3060.704,30.69,10000.0,3843.84,10000.0,3992,37
AirAsia,MNL-CEB,2022.0,9,7945.92,16.46,3756.03,3843.84,3219.43,3992,1144
Cebu Pacific,MNL-CEB,2022.0,9,19194.248,48.97,3756.03,3843.84,3219.43,3992,1144
Philippine Airlines,MNL-CEB,2022.0,9,12027.888,30.69,3756.03,3843.84,3219.43,3992,1144
AirAsia,MNL-CGY,2022.0,9,662.16,16.46,5023.48,3843.84,3825.21,3992,420
Cebu Pacific,MNL-CGY,2022.0,9,15109.288,48.97,5023.48,3843.84,3825.21,3992,420
Philippine Airlines,MNL-CGY,2022.0,9,9217.664,30.69,5023.48,3843.84,3825.21,3992,420
Philippine Airlines,MNL-CRM,2022.0,9,329.664,30.69,10000.0,3843.84,10000.0,3992,6
Philippine Airlines,MNL-CYP,2022.0,9,329.664,30.69,10000.0,3843.84,5711.91,3992,33
Cebu Pacific,MNL-CYZ,2022.0,9,3924.6000000000004,48.97,10000.0,3843.84,10000.0,3992,49
Cebu Pacific,MNL-DGT,2022.0,9,6593.328,48.97,5097.98,3843.84,5000.79,3992,133
Philippine Airlines,MNL-DGT,2022.0,9,4974.048000000001,30.69,5097.98,3843.84,5000.79,3992,133
Cebu Pacific,MNL-DPL,2022.0,9,3139.6800000000003,48.97,5134.71,3843.84,5104.89,3992,70
Philippine Airlines,MNL-DPL,2022.0,9,2254.32,30.69,5134.71,3843.84,5104.89,3992,70
Cebu Pacific,MNL-DVO,2022.0,9,18329.148,48.97,5394.64,3843.84,5261.98,3992,446
Philippine Airlines,MNL-DVO,2022.0,9,10289.072,30.69,5394.64,3843.84,5261.98,3992,446
Philippine Airlines,MNL-EUQ,2022.0,9,439.552,30.69,10000.0,3843.84,10000.0,3992,15
