Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Cluster_Scenario1,Cluster_Scenario2
BCD-CEB,BCD,CEB,2023.7837837837837,6.594594594594595,2641.0484324324325,46.26810810810811,5254.664864864865,3584.3729729729725,3082.4816216216213,503.5945945945946,2071.5405405405404,0.0525,0.0056,0.1407,0.5096,1.7466000000000002,1.891,0.1829,0.0813,2618.0,2606.0,5909568.0,7517450.0,147.0,386.0,0.9459459459459459,0,1
BCD-DVO,BCD,DVO,2023.7837837837837,6.594594594594595,2889.359135135135,97.29729729729729,9729.72972972973,3584.3729729729725,5105.256756756757,503.5945945945946,783.7297297297297,0.0525,0.6037,0.1407,0.4554,1.7466000000000002,1.7601,0.1829,0.1592,2618.0,1837.0,5909568.0,4116016.0,147.0,205.0,0.972972972972973,0,1
BCD-MNL,BCD,MNL,2023.7837837837837,6.594594594594595,31168.1527027027,46.54243243243243,3742.2437837837833,3584.3729729729725,3733.60027027027,503.5945945945946,5801.648648648648,0.0525,0.1691,0.1407,0.5725,1.7466000000000002,1.9890999999999999,0.1829,0.1717,2618.0,4565.0,5909568.0,7348669.0,147.0,1351.0,1.0,2,0
BPA-CEB,BPA,CEB,2023.7837837837837,6.594594594594595,0.0,0.0,9189.18918918919,9189.18918918919,3082.4816216216213,8.594594594594595,2071.5405405405404,0.0,0.0056,0.0491,0.5096,1.9297999999999997,1.891,0.007199999999999999,0.0813,1528.0,2606.0,1695713.0,7517450.0,103.0,386.0,0.0,0,1
BSO-CRK,BSO,CRK,2023.7837837837837,6.594594594594595,0.0,0.0,4054.054054054054,4054.054054054054,7781.164594594594,6.27027027027027,176.67567567567568,0.0348,0.0065,0.2377,0.1865,1.996,1.2661,0.0006,0.1108,1216.0,3779.0,1113791.0,5691259.0,46.0,243.0,0.0,0,1
BSO-MNL,BSO,MNL,2023.7837837837837,6.594594594594595,0.0,0.0,270.27027027027026,4054.054054054054,3733.60027027027,6.27027027027027,5801.648648648648,0.0348,0.1691,0.2377,0.5725,1.996,1.9890999999999999,0.0006,0.1717,1216.0,4565.0,1113791.0,7348669.0,46.0,1351.0,0.0,2,0
BXU-CEB,BXU,CEB,2023.7837837837837,6.594594594594595,2555.9435675675677,63.08513513513514,5604.774594594594,4742.987297297297,3082.4816216216213,230.0,2071.5405405405404,0.018,0.0056,0.0452,0.5096,1.8643,1.891,0.2916,0.0813,920.0,2606.0,1728856.0,7517450.0,47.0,386.0,1.0,0,1
BXU-MNL,BXU,MNL,2023.7837837837837,6.594594594594595,18230.16454054054,69.36594594594594,5833.833513513513,4742.987297297297,3733.60027027027,230.0,5801.648648648648,0.018,0.1691,0.0452,0.5725,1.8643,1.9890999999999999,0.2916,0.1717,920.0,4565.0,1728856.0,7348669.0,47.0,1351.0,1.0,2,0
CBO-CEB,CBO,CEB,2023.7837837837837,6.594594594594595,0.0,0.0,8648.648648648648,9189.18918918919,3082.4816216216213,42.2972972972973,2071.5405405405404,0.165,0.0056,0.0388,0.5096,1.9501,1.891,0.0101,0.0813,940.0,2606.0,1878952.0,7517450.0,6.0,386.0,0.0,0,1
CBO-MNL,CBO,MNL,2023.7837837837837,6.594594594594595,0.0,0.0,8918.918918918918,9189.18918918919,3733.60027027027,42.2972972972973,5801.648648648648,0.165,0.1691,0.0388,0.5725,1.9501,1.9890999999999999,0.0101,0.1717,940.0,4565.0,1878952.0,7348669.0,6.0,1351.0,0.0,2,0
