Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Travelers_From_log,Travelers_To_log,Establishment_From_log,Establishment_To_log,AirFli_From_log,AirFli_To_log,OFW_From_log,OFW_To_log,cluster_elbow,cluster_elbow_dist_to_centroid
BCD-CEB,BCD,CEB,2022,10,0.0,0.0,10000.0,3631.88,2867.88,338,908,0.0525,0.0056,0.1407,0.5096,1.7466,1.891,0.1829,0.0813,2618,2606,5909568,7517450,147,386,0,15.592083459480998,15.832737675699201,4.997212273764115,5.958424693029782,5.82600010738045,6.812345094177479,7.870547844507712,7.865955413933502,0,2.901257876098502
BCD-DVO,BCD,DVO,2022,10,156.984,100.0,10000.0,3631.88,5046.04,338,350,0.0525,0.6037,0.1407,0.4554,1.7466,1.7601,0.1829,0.1592,2618,1837,5909568,4116016,147,205,1,15.592083459480998,15.230396506151067,4.997212273764115,5.327876168789581,5.82600010738045,5.860786223465865,7.870547844507712,7.516433302915632,1,2.584372266242979
BCD-MNL,BCD,MNL,2022,10,23444.632,42.48,3614.72,3631.88,3770.31,338,3440,0.0525,0.1691,0.1407,0.5725,1.7466,1.9891,0.1829,0.1717,2618,4565,5909568,7348669,147,1351,1,15.592083459480998,15.81002990243421,4.997212273764115,7.20934025660291,5.82600010738045,8.14351740579748,7.870547844507712,8.42639282708974,0,2.9110967647872
BPA-CEB,BPA,CEB,2022,10,0.0,0.0,0.0,0.0,2867.88,0,908,0.0,0.0056,0.0491,0.5096,1.9298,1.891,0.0072,0.0813,1528,2606,1695713,7517450,103,386,0,14.343614449038526,15.832737675699201,4.6443908991413725,5.958424693029782,0.0,6.812345094177479,7.332369205929062,7.865955413933502,0,3.343861950039146
BSO-CRK,BSO,CRK,2022,10,0.0,0.0,0.0,0.0,10000.0,0,10,0.0348,0.0065,0.2377,0.1865,1.996,1.2661,0.0006,0.1108,1216,3779,1113791,5691259,46,243,0,13.923280967493845,15.554442222712828,3.8501476017100584,5.497168225293202,0.0,2.3978952727983707,7.104144092987527,8.237479288613633,0,4.872993220476387
BSO-MNL,BSO,MNL,2022,10,0.0,0.0,0.0,0.0,3770.31,0,3440,0.0348,0.1691,0.2377,0.5725,1.996,1.9891,0.0006,0.1717,1216,4565,1113791,7348669,46,1351,0,13.923280967493845,15.81002990243421,3.8501476017100584,7.20934025660291,0.0,8.14351740579748,7.104144092987527,8.42639282708974,0,3.896643801624552
BXU-CEB,BXU,CEB,2022,10,546.912,82.65,7132.05,5950.78,2867.88,100,908,0.018,0.0056,0.0452,0.5096,1.8643,1.891,0.2916,0.0813,920,2606,1728856,7517450,47,386,1,14.362971054478116,15.832737675699201,3.871201010907891,5.958424693029782,4.61512051684126,6.812345094177479,6.825460036255307,7.865955413933502,0,3.500550349130054
BXU-MNL,BXU,MNL,2022,10,10517.928,77.28,6488.4,5950.78,3770.31,100,3440,0.018,0.1691,0.0452,0.5725,1.8643,1.9891,0.2916,0.1717,920,4565,1728856,7348669,47,1351,1,14.362971054478116,15.81002990243421,3.871201010907891,7.20934025660291,4.61512051684126,8.14351740579748,6.825460036255307,8.42639282708974,0,3.6881447067864546
CBO-CEB,CBO,CEB,2022,10,0.0,0.0,0.0,10000.0,2867.88,22,908,0.165,0.0056,0.0388,0.5096,1.9501,1.891,0.0101,0.0813,940,2606,1878952,7517450,6,386,0,14.446225264777816,15.832737675699201,1.9459101490553132,5.958424693029782,3.1354942159291497,6.812345094177479,6.846943139585379,7.865955413933502,0,3.588177241103072
CBO-MNL,CBO,MNL,2022,10,0.0,0.0,10000.0,10000.0,3770.31,22,3440,0.165,0.1691,0.0388,0.5725,1.9501,1.9891,0.0101,0.1717,940,4565,1878952,7348669,6,1351,0,14.446225264777816,15.81002990243421,1.9459101490553132,7.20934025660291,3.1354942159291497,8.14351740579748,6.846943139585379,8.42639282708974,0,3.8144171495145045
CBO-TAG,CBO,TAG,2022,10,0.0,0.0,0.0,10000.0,3446.22,22,173,0.165,0.0022,0.0388,0.746,1.9501,1.9782,0.0101,0.0037,940,2606,1878952,7517450,6,386,0,14.446225264777816,15.832737675699201,1.9459101490553132,5.958424693029782,3.1354942159291497,5.159055299214529,6.846943139585379,7.865955413933502,0,3.889810805790268
CBO-TWT,CBO,TWT,2022,10,0.0,0.0,0.0,10000.0,5555.56,22,3,0.165,0.007,0.0388,0.0,1.9501,1.9938,0.0101,0.0007,940,940,1878952,1878952,6,6,0,14.446225264777816,14.446225264777816,1.9459101490553132,1.9459101490553132,3.1354942159291497,1.3862943611198906,6.846943139585379,6.846943139585379,1,6.460792392335846
CEB-BAG,CEB,BAG,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.2033,0.5096,0.5139,1.891,1.4349,0.0813,0.1274,2606,627,7517450,1983511,386,38,0,15.832737675699201,14.500379568829993,5.958424693029782,3.6635616461296463,6.714170529909472,0.0,7.865955413933502,6.4425401664681985,1,3.869304353041219
CEB-BCD,CEB,BCD,2022,10,0.0,0.0,10000.0,3321.96,3634.63,823,223,0.0056,0.0525,0.5096,0.1407,1.891,1.7466,0.0813,0.1829,2606,2618,7517450,5909568,386,147,0,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,6.714170529909472,5.4116460518550396,7.865955413933502,7.870547844507712,1,2.7717904426824367
CEB-BPA,CEB,BPA,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.0,0.5096,0.0491,1.891,1.9298,0.0813,0.0072,2606,1528,7517450,1695713,386,103,0,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,6.714170529909472,0.0,7.865955413933502,7.332369205929062,1,3.3591931839677747
CEB-BXU,CEB,BXU,2022,10,546.912,82.65,7132.05,3321.96,5826.92,823,103,0.0056,0.018,0.5096,0.0452,1.891,1.8643,0.0813,0.2916,2606,920,7517450,1728856,386,47,1,15.832737675699201,14.362971054478116,5.958424693029782,3.871201010907891,6.714170529909472,4.6443908991413725,7.865955413933502,6.825460036255307,1,3.4752216719781375
CEB-CBO,CEB,CBO,2022,10,0.0,0.0,0.0,3321.96,10000.0,823,23,0.0056,0.165,0.5096,0.0388,1.891,1.9501,0.0813,0.0101,2606,940,7517450,1878952,386,6,0,15.832737675699201,14.446225264777816,5.958424693029782,1.9459101490553132,6.714170529909472,3.1780538303479458,7.865955413933502,6.846943139585379,1,3.538093599696253
CEB-CGM,CEB,CGM,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.0017,0.5096,0.0699,1.891,1.9936,0.0813,0.0058,2606,1573,7517450,2941319,386,135,0,15.832737675699201,14.894369018145523,5.958424693029782,4.912654885736052,6.714170529909472,0.0,7.865955413933502,7.3613754289773485,1,3.210019449651658
CEB-CGY,CEB,CGY,2022,10,4192.992,61.88,5282.27,3321.96,3773.84,823,328,0.0056,0.072,0.5096,0.0369,1.891,1.9531,0.0813,0.0014,2606,1573,7517450,2941319,386,135,1,15.832737675699201,14.894369018145523,5.958424693029782,4.912654885736052,6.714170529909472,5.796057750765372,7.865955413933502,7.3613754289773485,1,1.3316101434110788
CEB-CRK,CEB,CRK,2022,10,607.68,100.0,10000.0,3321.96,10000.0,823,10,0.0056,0.0065,0.5096,0.1865,1.891,1.2661,0.0813,0.1108,2606,3779,7517450,5691259,386,243,1,15.832737675699201,15.554442222712828,5.958424693029782,5.497168225293202,6.714170529909472,2.3978952727983707,7.865955413933502,8.237479288613633,1,3.481031847950536
CEB-CRM,CEB,CRM,2022,10,0.0,0.0,0.0,3321.96,10000.0,823,13,0.0056,0.0586,0.5096,0.0541,1.891,1.9967,0.0813,0.0006,2606,1528,7517450,1695713,386,103,0,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,6.714170529909472,2.6390573296152584,7.865955413933502,7.332369205929062,1,2.8209893913113633
CEB-CYP,CEB,CYP,2022,10,1215.36,100.0,10000.0,3321.96,5382.53,823,32,0.0056,0.0009,0.5096,0.3387,1.891,1.9297,0.0813,0.0019,2606,1528,7517450,1695713,386,103,1,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,6.714170529909472,3.4965075614664802,7.865955413933502,7.332369205929062,1,1.952135705629051
