feature,PC,contrib_pct
Establishment_From_log,PC1,12.1228
Establishment_To_log,PC1,12.1112
OFW_To_log,PC1,11.5802
OFW_From_log,PC1,11.5702
Travelers_From_log,PC1,10.7054
Travelers_To_log,PC1,10.5822
AirFli_To_log,PC1,10.2209
AirFli_From_log,PC1,10.1653
EGrowth_From,PC1,4.6802
EGrowth_To,PC1,3.8107
AirHHI_To,PC1,1.495
AirHHI_From,PC1,0.9365
RouteHHI,PC1,0.0193
Establishment_To_log,PC2,15.1869
Establishment_From_log,PC2,14.7518
OFW_To_log,PC2,13.8128
OFW_From_log,PC2,13.168
Travelers_To_log,PC2,10.8089
Travelers_From_log,PC2,10.7959
AirFli_To_log,PC2,8.2918
AirFli_From_log,PC2,7.0124
AirHHI_From,PC2,2.2362
EGrowth_From,PC2,1.5387
EGrowth_To,PC2,1.1241
RouteHHI,PC2,0.6412
AirHHI_To,PC2,0.6312
RouteHHI,PC3,51.2161
AirHHI_From,PC3,17.6923
AirHHI_To,PC3,10.7294
EGrowth_From,PC3,5.3222
AirFli_From_log,PC3,4.3381
AirFli_To_log,PC3,4.0829
Travelers_From_log,PC3,2.6553
EGrowth_To,PC3,2.3011
Travelers_To_log,PC3,1.3811
OFW_From_log,PC3,0.1871
Establishment_From_log,PC3,0.0697
OFW_To_log,PC3,0.0148
Establishment_To_log,PC3,0.0099
AirHHI_To,PC4,44.0495
AirHHI_From,PC4,32.9553
EGrowth_From,PC4,9.3724
EGrowth_To,PC4,6.1888
Travelers_To_log,PC4,2.5476
AirFli_From_log,PC4,1.3609
Travelers_From_log,PC4,1.2074
AirFli_To_log,PC4,0.8239
RouteHHI,PC4,0.6998
OFW_To_log,PC4,0.4449
OFW_From_log,PC4,0.2943
Establishment_From_log,PC4,0.0438
Establishment_To_log,PC4,0.0113
EGrowth_To,PC5,65.4833
AirHHI_To,PC5,15.3087
Travelers_To_log,PC5,11.1914
OFW_To_log,PC5,5.2454
AirFli_To_log,PC5,1.2609
AirFli_From_log,PC5,0.5682
RouteHHI,PC5,0.5357
AirHHI_From,PC5,0.2027
Establishment_From_log,PC5,0.1325
Travelers_From_log,PC5,0.0379
OFW_From_log,PC5,0.0286
Establishment_To_log,PC5,0.0027
EGrowth_From,PC5,0.0021
EGrowth_From,PC6,58.5333
AirHHI_From,PC6,17.9403
Travelers_From_log,PC6,11.7783
OFW_From_log,PC6,6.2562
RouteHHI,PC6,2.7269
AirFli_From_log,PC6,1.7855
AirHHI_To,PC6,0.3688
OFW_To_log,PC6,0.1964
Establishment_From_log,PC6,0.1548
AirFli_To_log,PC6,0.128
Travelers_To_log,PC6,0.1077
Establishment_To_log,PC6,0.0126
EGrowth_To,PC6,0.0112
RouteHHI,PC7,30.4133
AirHHI_From,PC7,25.1401
AirHHI_To,PC7,23.3096
EGrowth_To,PC7,7.4439
EGrowth_From,PC7,3.9787
OFW_From_log,PC7,3.2281
OFW_To_log,PC7,2.6889
AirFli_From_log,PC7,1.6589
AirFli_To_log,PC7,1.3539
Establishment_To_log,PC7,0.3983
Establishment_From_log,PC7,0.3617
Travelers_To_log,PC7,0.0199
Travelers_From_log,PC7,0.0047
