,PC1,PC2,PC3,PC4,PC5,PC6,PC7
RouteHHI,0.0193,0.6412,51.2161,0.6998,0.5357,2.7269,30.4133
AirFli_From_log,10.1653,7.0124,4.3381,1.3609,0.5682,1.7855,1.6589
AirFli_To_log,10.2209,8.2918,4.0829,0.8239,1.2609,0.128,1.3539
Travelers_From_log,10.7054,10.7959,2.6553,1.2074,0.0379,11.7783,0.0047
Travelers_To_log,10.5822,10.8089,1.3811,2.5476,11.1914,0.1077,0.0199
Establishment_From_log,12.1228,14.7518,0.0697,0.0438,0.1325,0.1548,0.3617
Establishment_To_log,12.1112,15.1869,0.0099,0.0113,0.0027,0.0126,0.3983
OFW_From_log,11.5702,13.168,0.1871,0.2943,0.0286,6.2562,3.2281
OFW_To_log,11.5802,13.8128,0.0148,0.4449,5.2454,0.1964,2.6889
AirHHI_From,0.9365,2.2362,17.6923,32.9553,0.2027,17.9403,25.1401
AirHHI_To,1.495,0.6312,10.7294,44.0495,15.3087,0.3688,23.3096
EGrowth_From,4.6802,1.5387,5.3222,9.3724,0.0021,58.5333,3.9787
EGrowth_To,3.8107,1.1241,2.3011,6.1888,65.4833,0.0112,7.4439
