Route,cluster
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
SJI-MNL,0
RXS-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
BCD-MNL,0
MPH-MNL,0
SJI-MNL,0
CGY-MNL,0
USU-MNL,0
VRC-MNL,0
WNP-MNL,0
IAO-MNL,0
CBO-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
TAC-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
MPH-MNL,0
CRM-MNL,0
CRK-MNL,0
TAC-MNL,0
CBO-MNL,0
CYZ-MNL,0
CYP-MNL,0
CRM-MNL,0
CRK-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
OZC-MNL,0
MPH-MNL,0
DVO-MNL,0
DRP-MNL,0
DPL-MNL,0
DGT-MNL,0
TBH-MNL,0
TAG-MNL,0
GES-MNL,0
LAO-MNL,0
ILO-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
DVO-MNL,0
DRP-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
PPS-MNL,0
PAG-MNL,0
ENI-MNL,0
DVO-MNL,0
CGY-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
MBT-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
LGP-MNL,0
IAO-MNL,0
DRP-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
KLO-MNL,0
ILO-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
EUQ-MNL,0
ENI-MNL,0
SJI-MNL,0
RXS-MNL,0
CEB-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
CRM-MNL,0
CRM-MNL,0
CRK-MNL,0
DRP-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
CRK-MNL,0
CGY-MNL,0
ILO-MNL,0
USU-MNL,0
TUG-MNL,0
TUG-MNL,0
TBH-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
MPH-MNL,0
CBO-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
ZAM-MNL,0
EUQ-MNL,0
SJI-MNL,0
TAC-MNL,0
DVO-MNL,0
DRP-MNL,0
TAC-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
MPH-MNL,0
TAG-MNL,0
TAC-MNL,0
ENI-MNL,0
DVO-MNL,0
WNP-MNL,0
VRC-MNL,0
USU-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
USU-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
BSO-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
CBO-MNL,0
BXU-MNL,0
BSO-MNL,0
CBO-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
CEB-MNL,0
CRM-MNL,0
CRK-MNL,0
CGY-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
USU-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
CBO-MNL,0
BXU-MNL,0
MPH-MNL,0
CEB-MNL,0
TAC-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
ZAM-MNL,0
WNP-MNL,0
TBH-MNL,0
TAG-MNL,0
TAC-MNL,0
SJI-MNL,0
RXS-MNL,0
CBO-MNL,0
CRK-MNL,0
CGY-MNL,0
MBT-MNL,0
MBT-MNL,0
LGP-MNL,0
CRK-MNL,0
CGY-MNL,0
MPH-MNL,0
VRC-MNL,0
USU-MNL,0
CEB-MNL,0
IAO-MNL,0
GES-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
CRM-MNL,0
CEB-MNL,0
DVO-MNL,0
DVO-MNL,0
DRP-MNL,0
IAO-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
CRM-MNL,0
LAO-MNL,0
KLO-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
DPL-MNL,0
DGT-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
ILO-MNL,0
ILO-MNL,0
IAO-MNL,0
GES-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
CYP-MNL,0
LAO-MNL,0
KLO-MNL,0
ILO-MNL,0
IAO-MNL,0
GES-MNL,0
CGY-MNL,0
KLO-MNL,0
ILO-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
MBT-MNL,0
LGP-MNL,0
DRP-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
DRP-MNL,0
DPL-MNL,0
CYZ-MNL,0
CYP-MNL,0
CRM-MNL,0
CRK-MNL,0
LAO-MNL,0
EUQ-MNL,0
ENI-MNL,0
DVO-MNL,0
EUQ-MNL,0
ENI-MNL,0
DVO-MNL,0
DRP-MNL,0
CYP-MNL,0
MBT-MNL,0
LGP-MNL,0
CGY-MNL,0
DGT-MNL,0
CYZ-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
DVO-MNL,0
CRM-MNL,0
CRM-MNL,0
CRK-MNL,0
DRP-MNL,0
DPL-MNL,0
DPL-MNL,0
CRM-MNL,0
CRK-MNL,0
KLO-MNL,0
ILO-MNL,0
IAO-MNL,0
DRP-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
EUQ-MNL,0
ENI-MNL,0
KLO-MNL,0
ILO-MNL,0
ENI-MNL,0
DVO-MNL,0
BXU-MNL,0
BSO-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
CEB-MNL,0
GES-MNL,0
EUQ-MNL,0
IAO-MNL,0
GES-MNL,0
CGY-MNL,0
CYP-MNL,0
CRM-MNL,0
CRK-MNL,0
DVO-MNL,0
DRP-MNL,0
BSO-MNL,0
BCD-MNL,0
ILO-MNL,0
TAC-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
MPH-MNL,0
CEB-MNL,0
CRK-MNL,0
CGY-MNL,0
DGT-MNL,0
CYZ-MNL,0
CBO-MNL,0
OZC-MNL,0
MPH-MNL,0
MPH-MNL,0
TAC-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
IAO-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
USU-MNL,0
TUG-MNL,0
TBH-MNL,0
CBO-MNL,0
BXU-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
TAG-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
USU-MNL,0
PAG-MNL,0
TBH-MNL,0
TAG-MNL,0
TAC-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
CBO-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
MPH-MNL,0
USU-MNL,0
CEB-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
PAG-MNL,0
OZC-MNL,0
MPH-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
USU-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
MBT-MNL,0
CEB-MNL,0
TUG-MNL,0
DPL-MNL,0
MBT-MNL,0
CEB-MNL,0
CGY-MNL,0
DGT-MNL,0
CYZ-MNL,0
CBO-MNL,0
CGY-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
CEB-MNL,0
CGY-MNL,0
PAG-MNL,0
OZC-MNL,0
TAC-MNL,0
ILO-MNL,0
CYP-MNL,0
CRM-MNL,0
CRK-MNL,0
TAC-MNL,0
SJI-MNL,0
RXS-MNL,0
PPS-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
ILO-MNL,0
IAO-MNL,0
CBO-MNL,0
DVO-MNL,0
DRP-MNL,0
DPL-MNL,0
DGT-MNL,0
CYZ-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
CBO-MNL,0
BXU-MNL,0
BSO-MNL,0
CYP-MNL,0
CRM-MNL,0
CRK-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
USU-MNL,0
BXU-MNL,0
BSO-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
VRC-MNL,0
BCD-MNL,0
ZAM-MNL,0
WNP-MNL,0
DVO-MNL,0
DRP-MNL,0
DPL-MNL,0
VRC-MNL,0
USU-MNL,0
DRP-MNL,0
TAC-MNL,0
ILO-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
DVO-MNL,0
IAO-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
GES-MNL,0
EUQ-MNL,0
ENI-MNL,0
WNP-MNL,0
VRC-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
CGY-MNL,0
MBT-MNL,0
LGP-MNL,0
LAO-MNL,0
KLO-MNL,0
DGT-MNL,0
CYZ-MNL,0
CYP-MNL,0
CRM-MNL,0
PPS-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
OZC-MNL,0
MPH-MNL,0
CRK-MNL,0
KLO-MNL,0
ILO-MNL,0
TUG-MNL,0
TBH-MNL,0
TAG-MNL,0
DVO-MNL,0
DRP-MNL,0
