Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry
BCD-CEB,BCD,CEB,2022,10,0,0,10000,3631.88,2867.88,338,908,0.0525,0.0056,0.1407,0.5096,1.7466,1.891,0.1829,0.0813,2618,2606,5909568,7517450,147,386,0
BCD-DVO,BCD,DVO,2022,10,156.984,100,10000,3631.88,5046.04,338,350,0.0525,0.6037,0.1407,0.4554,1.7466,1.7601,0.1829,0.1592,2618,1837,5909568,4116016,147,205,1
BCD-MNL,BCD,MNL,2022,10,23444.632,42.48,3614.72,3631.88,3770.31,338,3440,0.0525,0.1691,0.1407,0.5725,1.7466,1.9891,0.1829,0.1717,2618,4565,5909568,7348669,147,1351,1
BPA-CEB,BPA,CEB,2022,10,0,0,0,0,2867.88,0,908,0,0.0056,0.0491,0.5096,1.9298,1.891,0.0072,0.0813,1528,2606,1695713,7517450,103,386,0
BSO-CRK,BSO,CRK,2022,10,0,0,0,0,10000,0,10,0.0348,0.0065,0.2377,0.1865,1.996,1.2661,0.0006,0.1108,1216,3779,1113791,5691259,46,243,0
BSO-MNL,BSO,MNL,2022,10,0,0,0,0,3770.31,0,3440,0.0348,0.1691,0.2377,0.5725,1.996,1.9891,0.0006,0.1717,1216,4565,1113791,7348669,46,1351,0
BXU-CEB,BXU,CEB,2022,10,546.912,82.65,7132.05,5950.78,2867.88,100,908,0.018,0.0056,0.0452,0.5096,1.8643,1.891,0.2916,0.0813,920,2606,1728856,7517450,47,386,1
BXU-MNL,BXU,MNL,2022,10,10517.928,77.28,6488.4,5950.78,3770.31,100,3440,0.018,0.1691,0.0452,0.5725,1.8643,1.9891,0.2916,0.1717,920,4565,1728856,7348669,47,1351,1
CBO-CEB,CBO,CEB,2022,10,0,0,0,10000,2867.88,22,908,0.165,0.0056,0.0388,0.5096,1.9501,1.891,0.0101,0.0813,940,2606,1878952,7517450,6,386,0
CBO-MNL,CBO,MNL,2022,10,0,0,10000,10000,3770.31,22,3440,0.165,0.1691,0.0388,0.5725,1.9501,1.9891,0.0101,0.1717,940,4565,1878952,7348669,6,1351,0
