Airport,Model,Window,Split,RMSE,MAE,R2,MAPE
MNL,V01_Simple,3,Train,32714.472882808306,29363.216796875,0.4841007590293884,7.095963478088379
MNL,V01_Simple,3,Test,138492.38442600373,95046.8359375,-0.0898512601852417,37.92369079589844
MNL,V01_Simple,6,Train,30974.27784468913,26265.099609375,0.5312005877494812,6.373419761657715
MNL,V01_Simple,6,Test,152392.87668391853,90409.640625,-0.31960761547088623,39.776649475097656
MNL,V01_Simple,12,Train,32384.811254660726,27965.44921875,0.5096138715744019,6.446216106414795
MNL,V01_Simple,12,Test,187818.12751702112,120931.7734375,-0.7187404632568359,56.36006546020508
MNL,V02_Deep,3,Train,33519.30882342296,30034.8828125,0.4584043622016907,7.250560760498047
MNL,V02_Deep,3,Test,142615.87591849655,95786.765625,-0.1557161808013916,38.75571823120117
MNL,V02_Deep,6,Train,34990.66481220384,28374.572265625,0.40174126625061035,7.01745080947876
MNL,V02_Deep,6,Test,162022.5635644616,92861.5859375,-0.49164843559265137,41.809932708740234
MNL,V02_Deep,12,Train,30711.993748371337,26385.99609375,0.5589666366577148,5.819973468780518
MNL,V02_Deep,12,Test,180814.79302313735,118401.3984375,-0.5929539203643799,54.53077697753906
MNL,V03_Wide,3,Train,34865.15096769265,30440.046875,0.4140397906303406,7.452754020690918
MNL,V03_Wide,3,Test,146260.02488718508,94826.9453125,-0.21553301811218262,39.258644104003906
MNL,V03_Wide,6,Train,28809.482883245233,24533.7421875,0.5944395661354065,5.854620456695557
MNL,V03_Wide,6,Test,154752.27129835606,90466.8359375,-0.3607851266860962,40.14985275268555
MNL,V03_Wide,12,Train,33590.798740131206,29498.025390625,0.47241050004959106,6.420525074005127
MNL,V03_Wide,12,Test,178035.38129259588,120839.2109375,-0.5443577766418457,54.504268646240234
MNL,V04_Triple,3,Train,36895.3234977009,32536.123046875,0.34381288290023804,7.983065605163574
MNL,V04_Triple,3,Test,142980.94888480773,99540.1640625,-0.16164076328277588,39.54098892211914
MNL,V04_Triple,6,Train,36696.10900354423,30234.525390625,0.34200185537338257,7.494056224822998
MNL,V04_Triple,6,Test,156357.39655033912,92007.9296875,-0.38916027545928955,40.85425567626953
MNL,V04_Triple,12,Train,32451.94157519701,28202.900390625,0.5075787305831909,6.4414753913879395
MNL,V04_Triple,12,Test,182716.53656962744,118172.2265625,-0.6266382932662964,54.90406036376953
MNL,V05_Bidir,3,Train,34500.31698405103,28879.55078125,0.4262387752532959,7.158276557922363
MNL,V05_Bidir,3,Test,136796.597852432,87770.2265625,-0.06332516670227051,36.3636360168457
MNL,V05_Bidir,6,Train,29931.177591267606,25584.390625,0.5622438192367554,6.165560722351074
MNL,V05_Bidir,6,Test,150939.14598936884,90103.3046875,-0.2945512533187866,39.410552978515625
MNL,V05_Bidir,12,Train,29428.569520110894,25168.33984375,0.5950571298599243,5.725457191467285
MNL,V05_Bidir,12,Test,188314.29863926955,120736.9140625,-0.7278335094451904,56.203834533691406
MNL,V06_Pyramid,3,Train,35721.12069910461,31750.537109375,0.38491493463516235,7.750646114349365
MNL,V06_Pyramid,3,Test,144081.56267892156,98368.359375,-0.17959332466125488,39.50967025756836
MNL,V06_Pyramid,6,Train,41669.713893906206,33870.87890625,0.15155106782913208,8.4560546875
MNL,V06_Pyramid,6,Test,164595.9435709155,93729.390625,-0.5394079685211182,42.462215423583984
MNL,V06_Pyramid,12,Train,31362.728452735104,27256.005859375,0.5400791168212891,6.184275150299072
MNL,V06_Pyramid,12,Test,185502.5068078596,119187.0234375,-0.6766208410263062,55.5918083190918
MNL,V07_DenseLSTM,3,Train,35884.58476839324,31154.646484375,0.3792726993560791,7.670431613922119
MNL,V07_DenseLSTM,3,Test,146188.16061501013,94544.3359375,-0.2143387794494629,39.22234344482422
MNL,V07_DenseLSTM,6,Train,28847.777037407926,24478.056640625,0.5933606624603271,5.812056064605713
MNL,V07_DenseLSTM,6,Test,154908.9229192431,92469.2109375,-0.36354148387908936,40.613304138183594
MNL,V07_DenseLSTM,12,Train,30356.802993727782,26090.462890625,0.5691089034080505,5.83190393447876
MNL,V07_DenseLSTM,12,Test,184934.841195487,119443.859375,-0.6663750410079956,55.49544143676758
MNL,V08_Lite,3,Train,32246.705009969624,29073.638671875,0.4987484812736511,6.963577747344971
MNL,V08_Lite,3,Test,134640.74438296902,97014.859375,-0.030074119567871094,37.541988372802734
