Model,RMSE,MAE,R2,MAPE
V08_Lite,27514.16152787007,20368.842822265626,0.10851961374282837,141.08418884277344
V01_Simple,27975.946061682265,19533.14150390625,0.10619613528251648,142.37990951538086
V05_Bidir,28232.98491343662,18821.273486328126,0.0711422860622406,141.4649824142456
V03_Wide,29732.434952256113,19892.542919921874,-0.008739233016967773,146.52347927093507
V09_BiDeep,29850.958527984214,19956.697607421876,-0.04994695782661438,145.20353031158447
V10_Mixed,29904.818663510356,20241.882568359375,-0.08314352035522461,145.47533855438232
V04_Triple,29971.292953882297,20953.7595703125,-0.0762874960899353,151.76692218780516
V02_Deep,30344.892162492288,21072.72421875,-0.12939085364341735,151.9767900466919
V06_Pyramid,30808.929708384763,21558.69072265625,-0.16211029887199402,154.78827800750733
V07_DenseLSTM,32036.437878762004,22028.55771484375,-0.26527355909347533,155.59641628265382
