Model,RMSE,MAE,R2,MAPE
V08_Lite,8947.325686971011,6748.569967395344,-0.3439054073289383,199470635.12784615
V05_Bidir,9075.510320216992,6343.690780501726,-0.578594145386718,198942822.6309031
V01_Simple,9101.222200232023,6614.5530339971965,-0.672807585361392,204003440.05772224
V09_BiDeep,9342.202856325643,6524.387915742952,-0.9056676265805267,198549523.5189234
V10_Mixed,9484.575660713797,6694.536823843974,-0.5383224168489146,199231628.2289322
V03_Wide,9530.687378050636,6668.312474456551,-0.6623547326686771,207644402.95414278
V04_Triple,9711.950782171913,6832.5933284671155,-0.8120812926181528,211583265.2673976
V02_Deep,9778.114574276344,6885.327061199172,-0.7107668976451076,209111887.66468647
V06_Pyramid,9936.578879977156,6936.175083922785,-0.7149723463280256,212746772.6048602
V07_DenseLSTM,10162.577480859281,7195.424575101194,-0.791275005007899,213870448.5604415
