Airport,Model,Window,RMSE,MAE,R2,MAPE
BAG,V03_Wide,3,1.3357919535630298,1.3357919454574585,0.0,
BCD,V08_Lite,3,7381.601181315609,5101.5498046875,-0.05456221103668213,22.395206451416016
BPA,V01_Simple,3,0.0,0.0,1.0,
BSO,V01_Simple,3,0.0,0.0,1.0,
BXU,V05_Bidir,3,9000.363992639408,7311.97216796875,-0.01569807529449463,65.27439880371094
CBO,V01_Simple,3,0.0,0.0,1.0,
CEB,V08_Lite,3,33422.921954850084,24673.57421875,0.23267316818237305,30.427207946777344
CGM,V10_Mixed,3,806.0072502775641,570.3885498046875,-0.11328959465026855,45.87085723876953
CGY,V05_Bidir,3,14822.58223117686,11117.5244140625,0.0897713303565979,323.3382568359375
CRK,V05_Bidir,3,8891.804316335352,7543.38427734375,0.3355749845504761,44.24395751953125
CRM,V01_Simple,3,0.0,0.0,1.0,
CYP,V09_BiDeep,3,447.8069129100175,334.91400146484375,0.1422882080078125,979622592.0
CYZ,V10_Mixed,3,3077.472989320946,2635.814208984375,0.19077515602111816,426119360.0
DGT,V05_Bidir,3,7176.229929426732,5456.94140625,-0.033156633377075195,50.289886474609375
DPL,V01_Simple,3,2055.8814411341914,1512.334228515625,0.1655760407447815,41.35549545288086
DRP,V09_BiDeep,3,8205.025776924775,6681.24755859375,-0.0635366439819336,45.37047576904297
DVO,V01_Simple,3,26662.038931784642,20651.244140625,0.13659483194351196,53.493648529052734
ENI,V05_Bidir,6,10160.240154642015,7146.6484375,-0.9676157236099243,98.69328308105469
EUQ,V01_Simple,3,0.0,0.0,1.0,
GES,V08_Lite,3,7841.5059778080895,5982.89501953125,0.11495006084442139,36.53325271606445
IAO,V10_Mixed,3,2956.2931180787878,2433.377685546875,0.1409076452255249,499.9967956542969
ILO,V08_Lite,3,10783.731079733025,8799.455078125,0.38188445568084717,21.484981536865234
KLO,V05_Bidir,3,1600.59879420172,1090.0643310546875,0.15196597576141357,20.677204132080078
LAO,V08_Lite,3,874.780722524222,562.3646850585938,-0.23639988899230957,17.791616439819336
LGP,V09_BiDeep,6,0.04123006406212294,0.04123006388545036,0.0,
MBT,V10_Mixed,6,925.9913606508433,695.2787475585938,-1.237440824508667,40.735931396484375
MNL,V05_Bidir,3,167305.24228487283,106704.515625,-0.03702545166015625,52.710609436035156
MPH,V05_Bidir,3,17363.725867451376,13308.8369140625,0.06803238391876221,38.214107513427734
OZC,V09_BiDeep,3,3123.43881002974,2165.036865234375,-0.15119504928588867,100.03589630126953
PAG,V09_BiDeep,3,2208.258137084521,1363.05859375,-0.020278215408325195,18.666433334350586
PPS,V05_Bidir,3,9568.063962996903,8231.3662109375,0.3273558020591736,23.887239456176758
RXS,V08_Lite,3,1845.2950306116363,1352.8724365234375,0.0031278133392333984,21.383792877197266
SJI,V03_Wide,12,2103.698647620424,1761.9351806640625,-2.197622776031494,96.6708984375
SUG,V05_Bidir,6,234.14321038362397,210.25083923339844,-0.26895666122436523,10.050182342529297
TAC,V01_Simple,12,1935.5369410062935,1791.169921875,0.013078391551971436,7.537339687347412
TAG,V08_Lite,3,6131.077882395558,5219.5947265625,0.18912243843078613,22.318740844726562
TBH,V03_Wide,3,55.5340856408814,39.909706115722656,-1.0088303089141846,98.82953643798828
TUG,V04_Triple,12,1957.3335178246962,1846.715087890625,-0.4134899377822876,15.806431770324707
TWT,V09_BiDeep,12,2134.3960504086394,1952.9300537109375,-0.47367966175079346,35.329315185546875
USU,V09_BiDeep,3,1557.019990237762,1427.1724853515625,-0.5092418193817139,34.6757698059082
VRC,V04_Triple,6,904.2850076165147,670.4375,-0.06261181831359863,20.398719787597656
WNP,V10_Mixed,3,1126.9525278377967,793.8458251953125,0.010494351387023926,28138358784.0
ZAM,V03_Wide,12,1423.4243042747303,1218.4345703125,-0.6326525211334229,43.38384246826172
