Model,RMSE,MAE,R2,MAPE
V08_Lite,8960.079305174808,6779.435168134092,-0.11164413496505382,849316522.8682184
V05_Bidir,8975.286021279031,6220.096999124039,-0.10103616464969724,836309855.6234058
V01_Simple,9110.295708098925,6751.96486567342,-0.14757277937822563,848817830.9783163
V09_BiDeep,9343.597743199773,6458.323885814655,-0.24632137597993362,821739484.5647016
V10_Mixed,9425.635055413739,6570.944909431214,-0.20029202588768893,821023822.268967
V03_Wide,9436.806176817478,6514.823623569379,-0.17427744976309842,850159753.093947
V02_Deep,9589.47372227325,6690.545928815077,-0.27886461241300714,875246904.875121
V04_Triple,9777.5797167952,6764.319053535025,-0.3883252823075583,841932243.5824345
V06_Pyramid,9910.816850260771,6758.654817827913,-0.308215388031893,866553545.112281
V07_DenseLSTM,9963.080984085043,6946.799942618192,-0.3655279847078545,840203024.0112405
