Date,WMA,LSTM
2024-01-01,978648.3144,924060.9574758239
2024-02-01,976099.2924,922113.3450870846
2024-03-01,987638.31492,922581.7642625935
2024-04-01,982378.60806,922872.9040094569
2024-05-01,982700.6569860001,922542.3191102407
2024-06-01,983591.5738950002,922701.6340529687
2024-07-01,983081.7056553002,922001.2748244031
2024-08-01,983158.4563933501,921986.5068662288
2024-09-01,983222.0546722651,921991.3336231213
2024-10-01,983174.9053851976,921988.6485398168
2024-11-01,983185.7603729484,921982.5751371045
2024-12-01,983189.7627364864,921978.3237552058
