ds,Prophet,Prophet_lower,Prophet_upper
2024-01-01,826491.0015958373,826210.6367965103,826758.762356753
2024-02-01,1346189.7507566423,1345292.1579455903,1346993.033003829
2024-03-01,902822.3934624402,901203.0766249599,904306.0671255238
2024-04-01,154098.08315175946,151754.41860753522,156347.57105379534
2024-05-01,1599172.1116686892,1595918.0011316163,1602139.8417830064
2024-06-01,2797864.7113902196,2793507.746844203,2801824.982749145
2024-07-01,923760.5523153405,918535.9164801978,928713.0718352786
2024-08-01,228666.56430339173,222533.33147877833,234643.2221154716
2024-09-01,1111194.9696972726,1104018.9348671744,1118254.622356073
2024-10-01,249874.54997638531,241767.16392771358,258150.81191483806
2024-11-01,1642649.1494411076,1633110.2482464898,1652255.589849604
2024-12-01,1674149.4269795704,1663338.7472896576,1685027.6094621315
