Fold,Method,MAE,RMSE,R2,MAPE
1,WMA,159940.03457000005,165439.59991704195,-14.037615976504917,13.98981919358033
1,LSTM,151100.4714447629,157635.66723273514,-12.652400694329996,13.200284588184893
2,WMA,153090.1630066666,157651.1921045897,-11.125152143064335,12.80436721010068
2,LSTM,210251.9195900112,214428.53789907953,-21.43147578911294,17.61604193259604
3,WMA,128635.88362333325,130454.58267196892,-21.341216846967285,10.456089939214708
3,LSTM,250124.8375457681,252152.03610218794,-82.46667305707896,20.35063741742954
4,WMA,90570.51466166663,90607.11313545637,-0.24955131567626054,7.644600957651739
4,LSTM,189510.95904223737,204150.27731293257,-5.343507500011332,15.568379168775412
5,WMA,86815.936145,94598.91317829101,-0.01206879208753997,7.4838519626550175
5,LSTM,255708.79507484703,272133.4181243889,-7.375321607243931,20.728358259728342
6,WMA,133817.9199200001,146968.21598862173,0.0023636211295672283,10.724457599707389
6,LSTM,307845.6619328625,345829.14361401385,-4.523935653036091,23.153961810896753
7,WMA,254180.51187666683,270562.9346723946,-9.2492937363313,17.755460471038763
7,LSTM,349391.03072090953,367385.45075981214,-17.89736470675031,24.46774530711243
