Airport,Model,Window,RMSE,MAE,R2,MAPE
BCD,V01_Simple,3,10926.082188964167,6774.5380859375,-0.050811171531677246,38.93305587768555
CEB,V08_Lite,3,32003.914760541404,22727.919921875,0.15481668710708618,29.723819732666016
CGY,V05_Bidir,3,12990.214778824868,11027.3408203125,0.06679731607437134,48.846622467041016
DVO,V08_Lite,3,25175.229730828672,17557.001953125,0.12112879753112793,43.958560943603516
ILO,V08_Lite,3,9531.48424958044,7906.6572265625,0.4922303557395935,18.24180030822754
MNL,V08_Lite,3,134640.74438296902,97014.859375,-0.030074119567871094,37.541988372802734
MPH,V08_Lite,3,17874.995272726646,13712.095703125,0.1023252010345459,39.86243438720703
PPS,V01_Simple,3,9394.708723531561,7771.93408203125,0.2911991477012634,22.69767951965332
TAC,V05_Bidir,3,12019.550074774013,7942.4619140625,0.013074159622192383,1093.5452880859375
TAG,V08_Lite,3,8827.687352868814,7215.29931640625,0.2009633183479309,33.8498420715332
