Date,WMA,LSTM
2024-01-01,978648.3144,787821.0772561233
2024-02-01,976099.2924,777515.8234296484
2024-03-01,987638.31492,794842.8258193624
2024-04-01,982378.60806,833441.9531743426
2024-05-01,982700.6569860001,885374.309191231
2024-06-01,983591.5738950002,939784.3577925367
2024-07-01,983081.7056553002,976322.8115724957
2024-08-01,983158.4563933501,988232.8182219594
2024-09-01,983222.0546722651,969968.4021062336
2024-10-01,983174.9053851976,926878.2491676937
2024-11-01,983185.7603729484,869431.5311754928
2024-12-01,983189.7627364864,813339.9171895258
