ds,Prophet,Prophet_lower,Prophet_upper,Actual
2025-01-01,1052610.1376088741,899313.1469564498,1197936.5617492588,1527031.21
2025-02-01,1433926.606338375,1291160.812281319,1580312.568411221,1285182.5
2025-03-01,1262140.9732370249,1111117.2119441617,1420296.934502623,1319661.684
2025-04-01,1334638.3670280727,1180759.4818919578,1490371.663690992,1399218.656
2025-05-01,1382658.1382829894,1226932.5585807462,1535422.8900357739,1479720.96
2025-06-01,1408104.186228875,1258617.720376784,1553108.0488486355,1370776.75
2025-07-01,1476171.178681083,1318829.5926662427,1622093.637698963,1387167.0
2025-08-01,1430554.5748665866,1286821.528247363,1576459.4346130318,1336276.881
2025-09-01,1290225.8476469486,1143541.1374796468,1438606.130923063,781930.552
2025-10-01,1373454.2495930467,1221472.0824289026,1517551.150707232,442943.016
2025-11-01,1550814.1015374667,1401864.8887719316,1703404.4873788536,
2025-12-01,1635002.5970128332,1486464.8114599898,1791707.287987376,
