ds,Prophet,Prophet_lower,Prophet_upper,WMA,LSTM
2025-01-01,1052610.1376088741,899313.1469564498,1197936.5617492588,1433426.102,1087955.3558441733
2025-02-01,1433926.606338375,1291160.812281319,1580312.568411221,1450575.0137999998,1068937.154684303
2025-03-01,1262140.9732370249,1111117.2119441617,1420296.934502623,1453688.6343,1053755.3120728226
2025-04-01,1334638.3670280727,1180759.4818919578,1490371.663690992,1448702.0416899999,1044426.4001433677
2025-05-01,1382658.1382829894,1226932.5585807462,1535422.8900357739,1450572.613895,1034474.2201468791
2025-06-01,1408104.186228875,1258617.720376784,1553108.0488486355,1450634.6463145,1024512.7503237075
2025-07-01,1476171.178681083,1318829.5926662427,1622093.637698963,1450229.51566375,1015350.1489499931
2025-08-01,1430554.5748665866,1286821.528247363,1576459.4346130318,1450419.674505225,1012681.0231371573
2025-09-01,1290225.8476469486,1143541.1374796468,1438606.130923063,1450405.6212146375,1010759.671727022
2025-10-01,1373454.2495930467,1221472.0824289026,1517551.150707232,1450374.6160916362,1009387.6662874488
2025-11-01,1550814.1015374667,1401864.8887719316,1703404.4873788536,1450392.9293112543,1008379.2669300613
2025-12-01,1635002.5970128332,1486464.8114599898,1791707.287987376,1450389.9737260453,1007675.6192041052
