Fold,Method,MAE,RMSE,R2,MAPE
1,WMA,159940.03457000005,165439.59991704195,-14.037615976504917,13.98981919358033
1,LSTM,157980.0491090707,163325.42274282995,-13.655735871031537,13.819315175078554
2,WMA,153090.1630066666,157651.1921045897,-11.125152143064335,12.80436721010068
2,LSTM,214960.30062488987,220058.16346352932,-22.624773141289644,17.99740398324454
3,WMA,128635.88362333325,130454.58267196892,-21.341216846967285,10.456089939214708
3,LSTM,236520.5664158512,238058.83508752796,-73.39722769302108,19.249464529807504
4,WMA,90570.51466166663,90607.11313545637,-0.24955131567626054,7.644600957651739
4,LSTM,207046.04101471184,222030.0713402237,-6.503313740268265,17.024700242817147
5,WMA,86815.936145,94598.91317829101,-0.01206879208753997,7.4838519626550175
5,LSTM,204664.5259223941,225060.09297998965,-4.7284183505871615,16.458290730184803
6,WMA,133817.9199200001,146968.21598862173,0.0023636211295672283,10.724457599707389
6,LSTM,255171.94668221675,293806.6559775227,-2.9870225584521135,19.049394176641123
7,WMA,254180.51187666683,270562.9346723946,-9.2492937363313,17.755460471038763
7,LSTM,328508.39464078454,340219.7399934658,-15.206019411511011,23.085351670926833
