Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_Model,Total_AIC,CebuPac_Model,CebuPac_AIC,Total_Forecast_Avg,CebuPac_Forecast_Avg
Angeles City (CRK)-Caticlan (MPH),32,7157.1406875,7106.4594375,99.29187852785239,"SARIMA(0, 0, 1)(0, 0, 0, 12)",594.0901466191935,"SARIMA(0, 0, 1)(0, 0, 0, 12)",594.3691246077633,6822.4315747393985,6773.712191326333
Angeles City (CRK)-Cebu (CEB),39,5885.590153846153,5327.730564102565,90.52160318402336,"SARIMA(1, 0, 0)(0, 0, 0, 12)",733.0492778313422,"SARIMA(1, 0, 0)(0, 0, 0, 12)",733.5651643400823,5039.412602574194,4736.422388219861
Angeles City (CRK)-Manila (MNL),21,224.04476190476188,108.05180952380951,48.227777612466895,"SARIMA(0, 0, 0)(0, 1, 0, 12)",125.88250678574514,"SARIMA(0, 0, 0)(1, 0, 0, 12)",246.20241332860607,399.2822222222222,90.76188750065053
Bacolod City (BCD)-Cebu (CEB),39,4683.402871794872,503.1585641025641,10.743439714160937,"SARIMA(0, 1, 0)(0, 0, 0, 12)",649.8106522454159,"SARIMA(1, 0, 0)(0, 1, 0, 12)",432.90501243332244,2029.8159999999998,698.240982157722
Bacolod City (BCD)-Davao City (DVO),36,2969.619111111111,2969.619111111111,100.0,"SARIMA(0, 1, 0)(0, 1, 1, 12)",378.07074052447933,"SARIMA(0, 1, 0)(0, 1, 1, 12)",378.07074052447933,2699.8047104829147,2699.8047104829147
Bacolod City (BCD)-Manila (MNL),39,64776.600820512824,30058.5701025641,46.403438466696215,"SARIMA(1, 0, 0)(2, 1, 0, 12)",583.0067715411767,"SARIMA(2, 0, 1)(0, 0, 2, 12)",775.2734555682116,9614.29279548185,4446.906517085684
Busuanga (USU)-Cebu (CEB),39,5201.817025641024,11.049230769230768,0.21241098475333556,"SARIMA(1, 0, 0)(0, 1, 0, 12)",462.6941229881693,"SARIMA(0, 0, 0)(0, 1, 0, 12)",267.0841029287402,5074.33665301482,51.870000000000005
Busuanga (USU)-Manila (MNL),37,6962.644324324325,8.260540540540541,0.11864085189131308,"SARIMA(1, 0, 0)(1, 1, 0, 12)",419.33774689612403,"SARIMA(1, 1, 0)(0, 0, 0, 12)",332.0599289922032,8811.546885628783,27.103024155588233
Butuan (BXU)-Manila (MNL),39,24975.3977948718,17504.265435897436,70.08603258159752,"SARIMA(3, 0, 1)(0, 0, 0, 12)",778.1433146371173,"SARIMA(1, 0, 1)(0, 0, 0, 12)",754.8316976982857,14946.326164693703,10830.397204045894
Cagayan de Oro (CGY)-Cebu (CEB),39,9135.579128205129,555.7738461538461,6.083619203055814,"SARIMA(2, 0, 0)(0, 0, 0, 12)",695.0121358288885,"SARIMA(1, 0, 0)(1, 1, 0, 12)",460.3803794441176,8738.207882722441,592.040559959562
Cagayan de Oro (CGY)-Davao City (DVO),36,954.11,4.588,0.4808669859869407,"SARIMA(0, 1, 0)(0, 1, 0, 12)",328.22969800495264,"SARIMA(0, 0, 0)(0, 0, 0, 12)",342.85823852238934,554.5260000000001,0.0
Cagayan de Oro (CGY)-Manila (MNL),39,55356.05317948718,26421.820410256416,47.730679650490906,"SARIMA(1, 1, 0)(0, 1, 0, 12)",554.2681066875679,"SARIMA(2, 0, 0)(0, 0, 0, 12)",778.4661335097993,-2548.137919863195,23679.01074249677
Caticlan (MPH)-Angeles City (CRK),32,7905.7674375,7741.8489375,97.9265959782415,"SARIMA(1, 0, 0)(0, 0, 0, 12)",603.6573555723517,"SARIMA(1, 0, 0)(0, 0, 0, 12)",601.941037625231,6491.037791480258,6003.788048435722
Caticlan (MPH)-Cebu (CEB),39,12161.422769230769,7664.835846153846,63.025815248742155,"SARIMA(1, 0, 1)(0, 0, 0, 12)",737.1998225119728,"SARIMA(0, 1, 0)(0, 0, 0, 12)",683.2703912342889,9895.140459646604,2825.712
Caticlan (MPH)-Manila (MNL),39,89394.1447179487,33526.06599999999,37.503648707395236,"SARIMA(3, 0, 0)(1, 0, 0, 12)",857.8825170442365,"SARIMA(3, 0, 1)(0, 0, 0, 12)",801.2500444470268,86437.23237695392,33258.763205580224
Caticlan (MPH)-nan,21,274.0111428571429,189.42771428571427,69.13139090276829,"SARIMA(0, 0, 0)(0, 0, 0, 12)",276.4795656590605,"SARIMA(0, 0, 0)(0, 0, 0, 12)",282.36085794343325,274.0111428571428,189.4277142857142
Cauayan (CYZ)-Manila (MNL),39,5850.64123076923,5091.115692307692,87.0180804376262,"SARIMA(2, 0, 1)(0, 1, 0, 12)",476.5015349869798,"SARIMA(3, 0, 1)(1, 1, 0, 12)",467.78333015135365,9859.55819702702,4499.74565645322
Cebu (CEB)-Angeles City (CRK),39,5259.720153846153,4885.261384615384,92.88063322234078,"SARIMA(0, 1, 0)(0, 0, 0, 12)",696.4080955914511,"SARIMA(0, 1, 0)(0, 0, 0, 12)",699.0564674385543,3288.2240000000006,3288.2240000000006
Cebu (CEB)-Bacolod City (BCD),39,4764.656102564103,496.1461538461539,10.413052761124826,"SARIMA(0, 1, 0)(0, 0, 0, 12)",651.7697127715628,"SARIMA(1, 0, 0)(0, 0, 1, 12)",610.7527238171082,1519.8719999999996,488.94129747080086
Cebu (CEB)-Butuan (BXU),39,2772.6178974358972,38.89769230769231,1.4029229322823276,"SARIMA(2, 0, 0)(0, 0, 0, 12)",641.6064204511794,"SARIMA(1, 0, 0)(0, 1, 0, 12)",345.80305072882317,2869.523139621533,196.92869180395746
Cebu (CEB)-Cagayan de Oro (CGY),39,9105.036,556.5432307692307,6.112476993712389,"SARIMA(2, 0, 0)(0, 0, 0, 12)",699.535399009381,"SARIMA(1, 0, 0)(1, 1, 0, 12)",460.1270244288494,8854.412636041789,600.5716423845346
Cebu (CEB)-Caticlan (MPH),39,11021.673589743592,7651.98276923077,69.42668649116459,"SARIMA(1, 0, 1)(0, 0, 0, 12)",730.305504807763,"SARIMA(1, 0, 0)(0, 0, 0, 12)",707.2793890183034,8420.647260845963,6544.903241073119
Cebu (CEB)-Cebu (CEB),33,485.10593939393937,11.187272727272727,2.3061504341194827,"SARIMA(1, 0, 0)(0, 1, 0, 12)",315.6794856865253,"SARIMA(0, 0, 0)(0, 1, 0, 12)",225.95775820946602,495.63388871004435,17.559
Cebu (CEB)-Davao City (DVO),39,20374.271333333338,14635.276410256409,71.83214639098458,"SARIMA(2, 0, 0)(0, 0, 0, 12)",778.2681795319575,"SARIMA(1, 0, 0)(0, 0, 0, 12)",770.9941123332055,18244.58197182976,12004.820995885553
Cebu (CEB)-General Santos (GES),37,4876.292594594594,4097.074594594594,84.0202780107213,"SARIMA(1, 0, 0)(0, 0, 0, 12)",663.9470736593804,"SARIMA(1, 0, 0)(0, 0, 0, 12)",661.3567931970023,4041.5738477114123,3447.7762437381357
