Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Angeles City (CRK)-Caticlan (MPH),2025-12-01,4187.190896972859,-369.13628507152316,8743.518079017242,4155.873985874638,-419.72497706380364,8731.47294881308
Angeles City (CRK)-Caticlan (MPH),2026-01-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-02-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-03-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-04-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-05-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-06-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-07-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-08-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-09-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-10-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Caticlan (MPH),2026-11-01,7061.998909081811,1159.7355742336658,12964.262243929956,7011.697482731032,1074.8910118694384,12948.503953592626
Angeles City (CRK)-Cebu (CEB),2025-12-01,3737.831515599646,-1453.4192565586409,8929.082287757934,3661.1961403519117,-1560.8359832599554,8883.228263963778
Angeles City (CRK)-Cebu (CEB),2026-01-01,4201.752283944777,-2333.6963257427915,10737.200893632347,4058.465865442923,-2467.9075188023044,10584.83924968815
Angeles City (CRK)-Cebu (CEB),2026-02-01,4556.558564229095,-2649.838098666878,11762.955227125069,4356.2701976449935,-2799.4758374973517,11512.016232787339
