Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_MAE,Total_RMSE,Total_MAPE,CebuPac_MAE,CebuPac_RMSE,CebuPac_MAPE,Total_Model,Total_AIC,Total_Forecast_Avg,CebuPac_Model,CebuPac_AIC,CebuPac_Forecast_Avg
Angeles City (CRK)-Caticlan (MPH),32,7157.1406875,7106.4594375,99.29187852785239,,,,,,,"SARIMA(0, 0, 1)(0, 0, 0, 12)",594.0901466191935,6822.4315747393985,"SARIMA(0, 0, 1)(0, 0, 0, 12)",594.3691246077633,6773.712191326333
Angeles City (CRK)-Cebu (CEB),39,5885.590153846153,5327.730564102565,90.52160318402336,2899.2866666666664,2995.894689192306,157.47833528825942,1015.1426666666665,1350.5113518762685,84.19107267109243,"SARIMA(1, 0, 0)(0, 0, 0, 12)",733.0492778313422,5039.412602574194,"SARIMA(1, 0, 0)(0, 0, 0, 12)",733.5651643400823,4736.422388219861
Angeles City (CRK)-Manila (MNL),21,224.04476190476188,108.05180952380951,48.227777612466895,,,,,,,"SARIMA(0, 0, 0)(0, 1, 0, 12)",125.88250678574514,399.2822222222222,"SARIMA(0, 0, 0)(1, 0, 0, 12)",246.20241332860607,90.76188750065053
Bacolod City (BCD)-Cebu (CEB),39,4683.402871794872,503.1585641025641,10.743439714160937,2563.712000000001,2799.8449805849377,95.88405930797933,657.1516543219647,936.0637900739933,171.11871355945343,"SARIMA(0, 1, 0)(0, 0, 0, 12)",649.8106522454159,2029.8159999999998,"SARIMA(1, 0, 0)(0, 1, 0, 12)",432.90501243332244,698.240982157722
Bacolod City (BCD)-Davao City (DVO),36,2969.619111111111,2969.619111111111,100.0,427.19131982401365,586.4231971123611,29.71462054945148,427.19131982401365,586.4231971123611,29.71462054945148,"SARIMA(0, 1, 0)(0, 1, 1, 12)",378.07074052447933,2699.8047104829147,"SARIMA(0, 1, 0)(0, 1, 1, 12)",378.07074052447933,2699.8047104829147
Bacolod City (BCD)-Manila (MNL),39,64776.600820512824,30058.5701025641,46.403438466696215,59446.47533333334,60519.20077670032,571.4833736729968,21324.080666666665,22283.000281654324,329.55979579185197,"SARIMA(1, 0, 0)(2, 1, 0, 12)",583.0067715411767,9614.29279548185,"SARIMA(2, 0, 1)(0, 0, 2, 12)",775.2734555682116,4446.906517085684
Busuanga (USU)-Cebu (CEB),39,5201.817025641024,11.049230769230768,0.21241098475333556,3062.892603452537,3529.866120963261,181.67946988290765,70.73939636417701,70.77529466712846,,"SARIMA(1, 0, 0)(0, 1, 0, 12)",462.6941229881693,5074.33665301482,"SARIMA(0, 0, 0)(0, 1, 0, 12)",267.0841029287402,51.870000000000005
Busuanga (USU)-Manila (MNL),37,6962.644324324325,8.260540540540541,0.11864085189131308,1976.2449984886882,2755.3393566362465,35.58715772160121,43.512,50.15916745720567,80.81180811808119,"SARIMA(1, 0, 0)(1, 1, 0, 12)",419.33774689612403,8811.546885628783,"SARIMA(1, 1, 0)(0, 0, 0, 12)",332.0599289922032,27.103024155588233
Butuan (BXU)-Manila (MNL),39,24975.3977948718,17504.265435897436,70.08603258159752,27908.413333333334,28420.123581274074,1680.2849056528783,19456.733333333334,19904.650787207025,1213.284544433081,"SARIMA(3, 0, 1)(0, 0, 0, 12)",778.1433146371173,14946.326164693703,"SARIMA(1, 0, 1)(0, 0, 0, 12)",754.8316976982857,10830.397204045894
Cagayan de Oro (CGY)-Cebu (CEB),39,9135.579128205129,555.7738461538461,6.083619203055814,5822.21737484341,5968.246302412403,160.0467051904654,569.6841344252541,770.8408738291758,78.86793579446072,"SARIMA(2, 0, 0)(0, 0, 0, 12)",695.0121358288885,8738.207882722441,"SARIMA(1, 0, 0)(1, 1, 0, 12)",460.3803794441176,592.040559959562
Cagayan de Oro (CGY)-Davao City (DVO),36,954.11,4.588,0.4808669859869407,316.776,318.57653066100147,52.304639804639805,,,,"SARIMA(0, 1, 0)(0, 1, 0, 12)",328.22969800495264,554.5260000000001,"SARIMA(0, 0, 0)(0, 0, 0, 12)",342.85823852238934,0.0
Cagayan de Oro (CGY)-Manila (MNL),39,55356.05317948718,26421.820410256416,47.730679650490906,47950.20124182634,50320.037523154555,424.994122024406,23879.614699465514,25827.847872502993,434.4761265167998,"SARIMA(1, 1, 0)(0, 1, 0, 12)",554.2681066875679,-2548.137919863195,"SARIMA(2, 0, 0)(0, 0, 0, 12)",778.4661335097993,23679.01074249677
Caticlan (MPH)-Angeles City (CRK),32,7905.7674375,7741.8489375,97.9265959782415,,,,,,,"SARIMA(1, 0, 0)(0, 0, 0, 12)",603.6573555723517,6491.037791480258,"SARIMA(1, 0, 0)(0, 0, 0, 12)",601.941037625231,6003.788048435722
Caticlan (MPH)-Cebu (CEB),39,12161.422769230769,7664.835846153846,63.025815248742155,8833.033249568263,9754.79430004836,187.5716159457666,4078.422,4238.431399457587,112.57350359838512,"SARIMA(1, 0, 1)(0, 0, 0, 12)",737.1998225119728,9895.140459646604,"SARIMA(0, 1, 0)(0, 0, 0, 12)",683.2703912342889,2825.712
Caticlan (MPH)-Manila (MNL),39,89394.1447179487,33526.06599999999,37.503648707395236,75076.012,76800.7636627978,392.5820677683527,22321.195842817964,23427.692740807703,388.675228694202,"SARIMA(3, 0, 0)(1, 0, 0, 12)",857.8825170442365,86437.23237695392,"SARIMA(3, 0, 1)(0, 0, 0, 12)",801.2500444470268,33258.763205580224
Cauayan (CYZ)-Manila (MNL),39,5850.64123076923,5091.115692307692,87.0180804376262,6997.022000000002,7378.911347581025,373.6642330073046,6171.107999999999,6270.149341161181,195.40284360189568,"SARIMA(2, 0, 1)(0, 1, 0, 12)",476.5015349869798,9859.55819702702,"SARIMA(3, 0, 1)(1, 1, 0, 12)",467.78333015135365,4499.74565645322
Cebu (CEB)-Angeles City (CRK),39,5259.720153846153,4885.261384615384,92.88063322234078,1304.3733333333332,1521.2047761656986,72.68912225501523,736.0186666666667,1017.0166691678821,55.42042996503936,"SARIMA(0, 1, 0)(0, 0, 0, 12)",696.4080955914511,3288.2240000000006,"SARIMA(0, 1, 0)(0, 0, 0, 12)",699.0564674385543,3288.2240000000006
Cebu (CEB)-Bacolod City (BCD),39,4764.656102564103,496.1461538461539,10.413052761124826,2833.322666666667,3126.692348494385,132.65542690301427,728.4613782444558,1040.445351012965,267.24787436818417,"SARIMA(0, 1, 0)(0, 0, 0, 12)",651.7697127715628,1519.8719999999996,"SARIMA(1, 0, 0)(0, 0, 1, 12)",610.7527238171082,488.94129747080086
Cebu (CEB)-Butuan (BXU),39,2772.6178974358972,38.89769230769231,1.4029229322823276,3508.906666666667,3584.935164072381,409.7540717854792,,,,"SARIMA(2, 0, 0)(0, 0, 0, 12)",641.6064204511794,2869.523139621533,"SARIMA(1, 0, 0)(0, 1, 0, 12)",345.80305072882317,196.92869180395746
Cebu (CEB)-Cagayan de Oro (CGY),39,9105.036,556.5432307692307,6.112476993712389,5697.561636551523,5818.817317451792,156.6141892092226,588.6334756142658,779.6340728882936,80.2692734532984,"SARIMA(2, 0, 0)(0, 0, 0, 12)",699.535399009381,8854.412636041789,"SARIMA(1, 0, 0)(1, 1, 0, 12)",460.1270244288494,600.5716423845346
Cebu (CEB)-Caticlan (MPH),39,11021.673589743592,7651.98276923077,69.42668649116459,9804.174425034857,10838.101656343708,304.2931098623134,4438.951999999998,4684.459251398819,152.48106290760316,"SARIMA(1, 0, 1)(0, 0, 0, 12)",730.305504807763,8420.647260845963,"SARIMA(1, 0, 0)(0, 0, 0, 12)",707.2793890183034,6544.903241073119
