Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Angeles City (CRK)-Cebu (CEB),2025-07-01,5874.15,280.5099797166931,11467.790020283306,3743.25,-2039.2227855832125,9525.722785583213
Angeles City (CRK)-Cebu (CEB),2025-08-01,5874.15,-2036.4515797175663,13784.751579717566,3743.25,-4434.401437425108,11920.90143742511
Angeles City (CRK)-Cebu (CEB),2025-09-01,5874.15,-3814.318714381292,15562.618714381291,3743.25,-6272.286658014458,13758.786658014458
Angeles City (CRK)-Cebu (CEB),2025-10-01,5874.15,-5313.130040566613,17061.430040566614,3743.25,-7821.695571166425,15308.195571166425
Angeles City (CRK)-Cebu (CEB),2025-11-01,5874.15,-6633.609327016775,18381.909327016772,3743.25,-9186.752226606628,16673.25222660663
Angeles City (CRK)-Cebu (CEB),2025-12-01,5874.15,-7827.413854505447,19575.713854505448,3743.25,-10420.85777620895,17907.357776208948
Angeles City (CRK)-Cebu (CEB),2026-01-01,5874.15,-8925.23041728792,20673.53041728792,3743.25,-11555.734953652101,19042.2349536521
Angeles City (CRK)-Cebu (CEB),2026-02-01,5874.15,-9947.053159435132,21695.35315943513,3743.25,-12612.05287485022,20098.55287485022
Angeles City (CRK)-Cebu (CEB),2026-03-01,5874.15,-10906.770060849916,22655.070060849917,3743.25,-13604.16835674964,21090.66835674964
Angeles City (CRK)-Cebu (CEB),2026-04-01,5874.15,-11814.492875165697,23562.792875165695,3743.25,-14542.534510381414,22029.034510381414
Angeles City (CRK)-Cebu (CEB),2026-05-01,5874.15,-12677.855159595694,24426.15515959569,3743.25,-15435.042590220728,22921.542590220728
Angeles City (CRK)-Cebu (CEB),2026-06-01,5874.15,-13502.787428762584,25251.087428762585,3743.25,-16287.82331602892,23774.32331602892
Angeles City (CRK)-Manila (MNL),2025-07-01,317.155,-121.4856491842736,755.7956491842735,187.22,-151.8985307804027,526.3385307804027
Angeles City (CRK)-Manila (MNL),2025-08-01,322.675,-115.96564918427356,761.3156491842735,192.74,-146.37853078040268,531.8585307804027
Angeles City (CRK)-Manila (MNL),2025-09-01,290.639,-148.00164918427356,729.2796491842736,160.704,-178.41453078040269,499.8225307804027
Angeles City (CRK)-Manila (MNL),2025-10-01,292.685,-145.95564918427357,731.3256491842735,162.75,-176.3685307804027,501.8685307804027
Angeles City (CRK)-Manila (MNL),2025-11-01,334.17500000000007,-104.46564918427333,772.8156491842735,204.24000000000004,-134.87853078040266,543.3585307804027
Angeles City (CRK)-Manila (MNL),2025-12-01,280.22299999999996,-158.41764918427344,718.8636491842733,-2.842170943040401e-14,-339.1185307804027,339.1185307804027
Angeles City (CRK)-Manila (MNL),2026-01-01,286.919,-151.72164918427342,725.5596491842734,156.984,-182.13453078040268,496.10253078040273
Angeles City (CRK)-Manila (MNL),2026-02-01,286.91900000000004,-151.72164918427336,725.5596491842734,156.984,-182.13453078040268,496.10253078040273
Angeles City (CRK)-Manila (MNL),2026-03-01,410.435,-28.205649184273398,849.0756491842734,0.0,-339.1185307804027,339.1185307804027
Angeles City (CRK)-Manila (MNL),2026-04-01,410.435,-28.205649184273398,849.0756491842734,0.0,-339.1185307804027,339.1185307804027
Angeles City (CRK)-Manila (MNL),2026-05-01,606.117,167.47635081572656,1044.7576491842733,0.0,-339.1185307804027,339.1185307804027
Angeles City (CRK)-Manila (MNL),2026-06-01,776.1210000000001,337.4803508157267,1214.7616491842734,162.75,-176.3685307804027,501.8685307804027
Bacolod City (BCD)-Cebu (CEB),2025-07-01,7872.379810578737,5893.394955375807,9851.364665781668,275.0966923879884,-971.85299319248,1522.046377968457
Bacolod City (BCD)-Cebu (CEB),2025-08-01,8308.499138829133,6189.884645984788,10427.113631673477,379.05211309014754,-953.9589521999039,1712.063178380199
Bacolod City (BCD)-Cebu (CEB),2025-09-01,8595.791909830075,6453.520719013046,10738.063100647105,418.3354988682701,-926.5157029644611,1763.1867007010014
Bacolod City (BCD)-Cebu (CEB),2025-10-01,8830.319061030626,6682.57527885671,10978.062843204543,433.1801735160133,-913.3532867600686,1779.7136337920954
Bacolod City (BCD)-Cebu (CEB),2025-11-01,9046.138458155723,6896.684054681252,11195.592861630194,2165.613780759187,818.8402680138788,3512.3872935044956
Bacolod City (BCD)-Cebu (CEB),2025-12-01,9255.325126169104,7105.160872711216,11405.489379626992,1074.7975775327359,-272.01021084586637,2421.605365911338
Bacolod City (BCD)-Cebu (CEB),2026-01-01,9462.16019733703,7311.599192797804,11612.721201876258,2694.170620844033,1347.357938028737,4040.9833036593286
Bacolod City (BCD)-Cebu (CEB),2026-02-01,9668.161523054116,7517.309543943149,11819.013502165082,2740.4773245723245,1393.6639428404264,4087.2907063042226
Bacolod City (BCD)-Cebu (CEB),2026-03-01,9873.86724900539,7722.761152359472,12024.97334565131,3015.9957123286786,1669.1822307925913,4362.809193864766
Bacolod City (BCD)-Cebu (CEB),2026-04-01,10079.468171720306,7928.120957338111,12230.8153861025,1377.3789379568448,30.565442168872778,2724.1924337448168
