Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Angeles City (CRK)-Angeles City (CRK),2025-10-01,387.20251403194317,0.0,883.5112983260306,33.89601913241839,0.0,376.27828689652677
Angeles City (CRK)-Angeles City (CRK),2025-11-01,392.2271907855706,0.0,888.5359750796579,23.477944722088182,0.0,365.86021248619653
Angeles City (CRK)-Angeles City (CRK),2025-12-01,397.0897811923069,0.0,893.3985654863942,13.395937228220191,0.0,355.77820499232854
Angeles City (CRK)-Angeles City (CRK),2026-01-01,402.1144579459343,0.0,898.4232422400216,2.9778628178900135,0.0,345.36013058199836
Angeles City (CRK)-Angeles City (CRK),2026-02-01,407.13913469956185,0.0,903.4479189936492,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-03-01,411.67755241251564,0.0,907.986336706603,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-04-01,416.70222916614307,0.0,913.0110134602304,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-05-01,421.56481957287934,0.0,917.8736038669667,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-06-01,426.58949632650683,0.0,922.8982806205942,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-07-01,431.45208673324305,0.0,927.7608710273304,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-08-01,436.47676348687054,0.0,932.7855477809578,0.0,0.0,342.38226776410835
Angeles City (CRK)-Angeles City (CRK),2026-09-01,441.501440240498,0.0,937.8102245345854,0.0,0.0,342.38226776410835
Angeles City (CRK)-Busuanga (USU),2025-12-01,2640.7668370321517,1182.8692590654744,4098.664414998829,21.66775335635932,0.0,81.31717034604542
Angeles City (CRK)-Busuanga (USU),2026-01-01,2716.6318685848537,1258.7342906181764,4174.529446551531,22.6530750386473,0.0,82.3024920283334
Angeles City (CRK)-Busuanga (USU),2026-02-01,2792.4969001375557,1334.5993221708784,4250.394478104233,23.638396720935287,0.0,83.28781371062138
Angeles City (CRK)-Busuanga (USU),2026-03-01,2861.020154443222,1403.1225764765447,4318.917732409899,24.528364692034106,0.0,84.1777816817202
