Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Philippine Airlines,MNL-BASCO,2024,7,1263.712,34.1,10000,3488.68,10000,615,23
AirAsia,MNL-CEBU,2024,7,24996.54,24.02,3431.1,3488.68,3431.1,615,563
Cebgo,MNL-CEBU,2024,7,63.936,0.06,3431.1,3488.68,3431.1,615,563
Cebu Pacific,MNL-CEBU,2024,7,38737.224,41.82,3431.1,3488.68,3431.1,615,563
Philippine Airlines,MNL-CEBU,2024,7,34223.648,34.1,3431.1,3488.68,3431.1,615,563
Cebu Pacific,MNL-PAGADIAN,2024,7,4789.872,41.82,10000,3488.68,10000,615,29
Philippine Airlines,MNL-BASCO,2024,8,1703.264,31.66,10000,3610.84,10000,672,31
AirAsia,MNL-CEBU,2024,8,25327.62,22.29,3540.93,3610.84,3540.93,672,609
Cebu Pacific,MNL-CEBU,2024,8,47386.518,45.95,3540.93,3610.84,3540.93,672,609
Philippine Airlines,MNL-CEBU,2024,8,34283.44,31.66,3540.93,3610.84,3540.93,672,609
Sunlight Air,MNL-CEBU,2024,8,112.2,0.1,3540.93,3610.84,3540.93,672,609
Cebu Pacific,MNL-PAGADIAN,2024,8,4838.976,45.95,10000,3610.84,10000,672,32
Philippine Airlines,MNL-BASCO,2024,9,1208.768,34.28,10000,3570.74,10000,643,22
AirAsia,MNL-CEBU,2024,9,22678.98,20.79,3495.16,3570.74,3495.16,643,588
Cebgo,MNL-CEBU,2024,9,60.768,0.06,3495.16,3570.74,3495.16,643,588
Cebu Pacific,MNL-CEBU,2024,9,43141.06,44.31,3495.16,3570.74,3495.16,643,588
Philippine Airlines,MNL-CEBU,2024,9,36174.16,34.28,3495.16,3570.74,3495.16,643,588
Sunlight Air,MNL-CEBU,2024,9,617.1,0.57,3495.16,3570.74,3495.16,643,588
Cebu Pacific,MNL-PAGADIAN,2024,9,5180.472,44.31,10000,3570.74,10000,643,33
Philippine Airlines,MNL-BASCO,2024,10,1098.88,34.87,10000,3663.72,10000,647,20
AirAsia,MNL-CEBU,2024,10,20311.2,18.75,3591.85,3663.72,3591.85,647,598
Cebgo,MNL-CEBU,2024,10,425.376,0.39,3591.85,3663.72,3591.85,647,598
Cebu Pacific,MNL-CEBU,2024,10,45053.564,45.78,3591.85,3663.72,3591.85,647,598
Philippine Airlines,MNL-CEBU,2024,10,36679.968,34.87,3591.85,3663.72,3591.85,647,598
Sunlight Air,MNL-CEBU,2024,10,224.4,0.21,3591.85,3663.72,3591.85,647,598
Cebu Pacific,MNL-PAGADIAN,2024,10,4552.536,45.78,10000,3663.72,10000,647,29
Philippine Airlines,MNL-BASCO,2024,11,714.272,38.91,10000,3441.43,10000,712,13
AirAsia,MNL-CEBU,2024,11,24685.92,20.17,3406.55,3441.43,3406.55,712,669
Cebgo,MNL-CEBU,2024,11,2005.344,1.64,3406.55,3441.43,3406.55,712,669
Cebu Pacific,MNL-CEBU,2024,11,42970.572,38.96,3406.55,3441.43,3406.55,712,669
Philippine Airlines,MNL-CEBU,2024,11,46896.32,38.91,3406.55,3441.43,3406.55,712,669
Sunlight Air,MNL-CEBU,2024,11,392.7,0.32,3406.55,3441.43,3406.55,712,669
