DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE,# OF SEATS,LOAD FACTOR,MONTH
7/1/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4114),1:06:00,6:20:00,7:01:00,7:50:00,Landed 8:07 AM,5J561,Cebu Pacific,230,204.24,7
7/1/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3279),1:04:00,7:25:00,7:55:00,9:05:00,Landed 8:59 AM,5J551,Cebu Pacific,186,165.168,7
7/1/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3277),0:59:00,9:00:00,9:34:00,10:35:00,Landed 10:33 AM,5J585,Cebu Pacific,186,165.168,7
7/1/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4113),0:58:00,10:10:00,10:32:00,11:45:00,Landed 11:30 AM,5J565,Cebu Pacific,230,204.24,7
7/1/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4142),0:57:00,16:45:00,16:56:00,18:15:00,Landed 5:53 PM,5J571,Cebu Pacific,230,204.24,7
7/1/2024,Manila (MNL),Cebu (CEB),A339 (RP-C3905),0:59:00,17:15:00,17:53:00,18:50:00,Landed 6:52 PM,5J569,Cebu Pacific,465,412.92,7
7/1/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4330),1:00:00,19:00:00,20:18:00,20:35:00,Landed 9:18 PM,5J573,Cebu Pacific,186,165.168,7
7/2/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4117),0:55:00,6:20:00,7:10:00,7:50:00,Landed 8:05 AM,5J561,Cebu Pacific,230,204.24,7
7/2/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3279),0:57:00,9:00:00,9:40:00,10:35:00,Landed 10:37 AM,5J585,Cebu Pacific,186,165.168,7
7/2/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4111),1:01:00,10:10:00,10:25:00,11:45:00,Landed 11:26 AM,5J565,Cebu Pacific,230,204.24,7
7/2/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4126),0:59:00,16:45:00,17:20:00,18:15:00,Landed 6:20 PM,5J571,Cebu Pacific,230,204.24,7
7/2/2024,Manila (MNL),Cebu (CEB),A20N (RP-C4144),0:56:00,17:25:00,17:47:00,19:00:00,Landed 6:43 PM,5J569,Cebu Pacific,186,165.168,7
7/2/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4103),0:58:00,19:00:00,19:27:00,20:35:00,Landed 8:25 PM,5J573,Cebu Pacific,186,165.168,7
7/3/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4116),0:59:00,6:20:00,6:54:00,7:50:00,Landed 7:54 AM,5J561,Cebu Pacific,230,204.24,7
7/3/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4105),1:02:00,7:25:00,8:03:00,9:05:00,Landed 9:05 AM,5J551,Cebu Pacific,186,165.168,7
7/3/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4101),1:02:00,9:00:00,9:42:00,10:35:00,Landed 10:44 AM,5J585,Cebu Pacific,186,165.168,7
7/3/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4112),1:04:00,10:10:00,10:46:00,11:45:00,Landed 11:50 AM,5J565,Cebu Pacific,230,204.24,7
7/3/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4140),0:58:00,16:45:00,17:09:00,18:15:00,Landed 6:07 PM,5J571,Cebu Pacific,230,204.24,7
7/3/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3264),0:58:00,19:00:00,19:26:00,20:35:00,Landed 8:24 PM,5J573,Cebu Pacific,186,165.168,7
7/4/2024,Manila (MNL),Cebu (CEB),A20N (RP-C3287),1:00:00,6:20:00,7:05:00,7:50:00,Landed 8:06 AM,5J561,Cebu Pacific,186,165.168,7
7/4/2024,Manila (MNL),Cebu (CEB),A20N (RP-C4136),1:00:00,7:25:00,7:44:00,9:05:00,Landed 8:45 AM,5J551,Cebu Pacific,186,165.168,7
7/4/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4101),1:00:00,9:00:00,9:29:00,10:35:00,Landed 10:29 AM,5J585,Cebu Pacific,186,165.168,7
7/4/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4120),0:59:00,16:45:00,17:10:00,18:15:00,Landed 6:09 PM,5J571,Cebu Pacific,230,204.24,7
7/4/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4112),0:57:00,17:25:00,17:55:00,19:00:00,Landed 6:52 PM,5J569,Cebu Pacific,230,204.24,7
7/4/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3264),1:00:00,19:00:00,19:46:00,20:35:00,Landed 8:46 PM,5J573,Cebu Pacific,186,165.168,7
7/5/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4113),1:00:00,6:20:00,6:43:00,7:50:00,Landed 7:43 AM,5J561,Cebu Pacific,230,204.24,7
7/5/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4100),0:59:00,7:25:00,7:45:00,9:05:00,Landed 8:43 AM,5J551,Cebu Pacific,186,165.168,7
7/5/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3279),0:59:00,9:00:00,9:29:00,10:35:00,Landed 10:29 AM,5J585,Cebu Pacific,186,165.168,7
7/5/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4117),0:59:00,10:10:00,10:29:00,11:45:00,Landed 11:29 AM,5J565,Cebu Pacific,230,204.24,7
7/5/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4133),1:00:00,16:45:00,17:25:00,18:15:00,Landed 6:25 PM,5J571,Cebu Pacific,230,204.24,7
7/5/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4143),0:58:00,17:15:00,17:38:00,18:50:00,Landed 6:36 PM,5J569,Cebu Pacific,230,204.24,7
7/5/2024,Manila (MNL),Cebu (CEB),A320 (RP-C3278),0:57:00,19:00:00,19:55:00,20:35:00,Landed 8:52 PM,5J573,Cebu Pacific,186,165.168,7
7/6/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4143),1:00:00,6:20:00,7:34:00,7:50:00,Landed 8:34 AM,5J561,Cebu Pacific,230,204.24,7
7/6/2024,Manila (MNL),Cebu (CEB),A20N (RP-C4138),1:10:00,7:25:00,7:37:00,9:05:00,Landed 8:47 AM,5J551,Cebu Pacific,186,165.168,7
7/6/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4103),1:02:00,9:00:00,9:24:00,10:35:00,Landed 10:26 AM,5J585,Cebu Pacific,186,165.168,7
7/6/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4114),1:09:00,10:10:00,10:26:00,11:45:00,Landed 11:35 AM,5J565,Cebu Pacific,230,204.24,7
7/6/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4141),1:00:00,16:45:00,17:04:00,18:15:00,Landed 6:04 PM,5J571,Cebu Pacific,230,204.24,7
7/6/2024,Manila (MNL),Cebu (CEB),A339 (RP-C3900),1:02:00,17:15:00,17:59:00,18:50:00,Landed 7:01 PM,5J569,Cebu Pacific,465,412.92,7
7/6/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4105),1:01:00,19:00:00,19:19:00,20:35:00,Landed 8:20 PM,5J573,Cebu Pacific,186,165.168,7
7/7/2024,Manila (MNL),Cebu (CEB),A321 (RP-C4111),1:04:00,6:20:00,7:02:00,7:50:00,Landed 8:06 AM,5J561,Cebu Pacific,230,204.24,7
7/7/2024,Manila (MNL),Cebu (CEB),A20N (RP-C4110),1:02:00,7:25:00,7:46:00,9:05:00,Landed 8:49 AM,5J551,Cebu Pacific,186,165.168,7
7/7/2024,Manila (MNL),Cebu (CEB),A320 (RP-C4100),1:00:00,9:00:00,9:31:00,10:35:00,Landed 10:32 AM,5J585,Cebu Pacific,186,165.168,7
7/7/2024,Manila (MNL),Cebu (CEB),A21N (RP-C4141),0:56:00,16:45:00,17:13:00,18:15:00,Landed 6:09 PM,5J571,Cebu Pacific,230,204.24,7
