DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
17-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
16-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
15-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
14-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
13-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
12-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
11-Sep-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
10-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4263),,1:05 PM,,2:55 PM,Scheduled,5J773,Cebu Pacific
9-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4160),,1:05 PM,,2:55 PM,Estimated departure 1:05 PM,5J773,Cebu Pacific
8-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4262),1:22,1:05 PM,1:21 PM,2:55 PM,Landed 2:43 PM,5J773,Cebu Pacific
7-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4108),1:13,1:05 PM,1:46 PM,2:55 PM,Landed 3:00 PM,5J773,Cebu Pacific
6-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4262),1:11,1:05 PM,2:49 PM,2:55 PM,Landed 4:00 PM,5J773,Cebu Pacific
5-Sep-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:09,1:05 PM,1:32 PM,2:55 PM,Landed 2:41 PM,5J773,Cebu Pacific
4-Sep-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4267),1:15,1:05 PM,1:12 PM,2:55 PM,Landed 2:26 PM,5J773,Cebu Pacific
3-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4156),1:18,1:05 PM,1:52 PM,2:55 PM,Landed 3:10 PM,5J773,Cebu Pacific
2-Sep-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4107),1:14,1:05 PM,1:28 PM,2:55 PM,Landed 2:43 PM,5J773,Cebu Pacific
1-Sep-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:16,1:05 PM,1:22 PM,2:55 PM,Landed 2:38 PM,5J773,Cebu Pacific
31-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4267),1:20,1:05 PM,1:47 PM,2:55 PM,Landed 3:07 PM,5J773,Cebu Pacific
30-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4107),1:16,1:05 PM,1:22 PM,2:55 PM,Landed 2:38 PM,5J773,Cebu Pacific
29-Aug-25,Manila (MNL),Pagadian (PAG),32N,,1:05 PM,,2:55 PM,Canceled,5J773,Cebu Pacific
28-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4106),1:17,1:05 PM,1:59 PM,2:55 PM,Landed 3:16 PM,5J773,Cebu Pacific
27-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4160),1:15,1:05 PM,2:07 PM,2:55 PM,Landed 3:22 PM,5J773,Cebu Pacific
26-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4107),1:18,1:05 PM,1:11 PM,2:55 PM,Landed 2:29 PM,5J773,Cebu Pacific
25-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4135),1:11,1:05 PM,1:23 PM,2:55 PM,Landed 2:34 PM,5J773,Cebu Pacific
24-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4105),1:14,1:05 PM,1:31 PM,2:55 PM,Landed 2:45 PM,5J773,Cebu Pacific
23-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4135),1:14,1:05 PM,1:38 PM,2:55 PM,Landed 2:51 PM,5J773,Cebu Pacific
22-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4110),,1:05 PM,1:42 PM,2:55 PM,Diverted to CEB,5J773,Cebu Pacific
21-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:18,1:05 PM,1:29 PM,2:55 PM,Landed 2:47 PM,5J773,Cebu Pacific
20-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:19,1:05 PM,1:34 PM,2:55 PM,Landed 2:53 PM,5J773,Cebu Pacific
19-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4156),1:17,1:05 PM,3:06 PM,2:55 PM,Landed 4:23 PM,5J773,Cebu Pacific
18-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:15,1:05 PM,1:21 PM,2:55 PM,Landed 2:36 PM,5J773,Cebu Pacific
17-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4108),1:18,1:05 PM,1:29 PM,2:55 PM,Landed 2:47 PM,5J773,Cebu Pacific
16-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4100),1:14,1:05 PM,2:20 PM,2:55 PM,Landed 3:34 PM,5J773,Cebu Pacific
15-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:11,1:05 PM,1:59 PM,2:55 PM,Landed 3:10 PM,5J773,Cebu Pacific
14-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4105),1:17,1:05 PM,1:38 PM,2:55 PM,Landed 2:54 PM,5J773,Cebu Pacific
13-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:19,1:05 PM,1:51 PM,2:55 PM,Landed 3:10 PM,5J773,Cebu Pacific
12-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4100),1:15,1:05 PM,1:24 PM,2:55 PM,Landed 2:39 PM,5J773,Cebu Pacific
11-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4144),1:14,1:05 PM,1:20 PM,2:55 PM,Landed 2:34 PM,5J773,Cebu Pacific
10-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4330),1:17,1:05 PM,1:20 PM,2:55 PM,Landed 2:37 PM,5J773,Cebu Pacific
9-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:18,1:05 PM,1:54 PM,2:55 PM,Landed 3:12 PM,5J773,Cebu Pacific
8-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:21,1:05 PM,1:31 PM,2:55 PM,Landed 2:52 PM,5J773,Cebu Pacific
7-Aug-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:24,1:05 PM,1:31 PM,2:55 PM,Landed 2:55 PM,5J773,Cebu Pacific
6-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4100),1:12,1:05 PM,1:38 PM,2:55 PM,Landed 2:50 PM,5J773,Cebu Pacific
5-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4102),1:18,1:05 PM,1:51 PM,2:55 PM,Landed 3:09 PM,5J773,Cebu Pacific
4-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4102),1:11,12:55 PM,1:34 PM,2:45 PM,Landed 2:45 PM,5J773,Cebu Pacific
3-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4156),1:17,1:05 PM,1:29 PM,2:55 PM,Landed 2:45 PM,5J773,Cebu Pacific
2-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4100),1:14,1:05 PM,1:12 PM,2:55 PM,Landed 2:25 PM,5J773,Cebu Pacific
1-Aug-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4101),1:22,1:05 PM,1:33 PM,2:55 PM,Landed 2:56 PM,5J773,Cebu Pacific
31-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4130),1:13,1:05 PM,1:35 PM,2:55 PM,Landed 2:48 PM,5J773,Cebu Pacific
30-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4266),1:15,1:05 PM,1:21 PM,2:45 PM,Landed 2:35 PM,5J773,Cebu Pacific
29-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4267),1:17,1:05 PM,1:29 PM,2:55 PM,Landed 2:46 PM,5J773,Cebu Pacific
28-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4130),1:16,1:05 PM,1:37 PM,2:55 PM,Landed 2:53 PM,5J773,Cebu Pacific
27-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:12,1:05 PM,1:24 PM,2:55 PM,Landed 2:37 PM,5J773,Cebu Pacific
